Date,Time,Price,Action,Position Type,Trade Price,Total Money,Total Point
2024-01-02,10:40:00,1137.5,Open,SHORT,1137.5,40000000.0,
2024-01-03,10:35:00,1131.2,Close,None,1131.2,40583000.0,583000.0
2024-01-03,11:00:00,1133.7,Open,LONG,1133.7,40583000.0,
2024-01-04,13:00:00,1159.7,Close,None,1159.7,43136000.0,3136000.0
2024-01-05,10:05:00,1162.5,Open,LONG,1162.5,43136000.0,
2024-01-05,10:30:00,1158.4,Close,None,1158.4,42679000.0,2679000.0
2024-01-05,10:35:00,1157.7,Open,SHORT,1157.7,42679000.0,
2024-01-05,13:15:00,1158.4,Close,None,1158.4,42562000.0,2562000.0
2024-01-05,13:45:00,1156.0,Open,SHORT,1156.0,42562000.0,
2024-01-05,14:15:00,1158.2,Close,None,1158.2,42295000.0,2295000.0
2024-01-05,14:25:00,1163.4,Open,LONG,1163.4,42295000.0,
2024-01-08,10:45:00,1167.1,Close,None,1167.1,42618000.0,2618000.0
2024-01-08,13:10:00,1165.7,Open,SHORT,1165.7,42618000.0,
2024-01-08,13:55:00,1166.7,Close,None,1166.7,42471000.0,2471000.0
2024-01-08,14:15:00,1163.1,Open,SHORT,1163.1,42471000.0,
2024-01-08,14:25:00,1166.0,Close,None,1166.0,42134000.0,2134000.0
2024-01-09,13:50:00,1161.3,Open,SHORT,1161.3,42134000.0,
2024-01-09,14:05:00,1164.6,Close,None,1164.6,41757000.0,1757000.0
2024-01-09,14:20:00,1163.6,Open,LONG,1163.6,41757000.0,
2024-01-10,09:00:00,1161.3,Close,None,1161.3,41480000.0,1480000.0
2024-01-10,09:05:00,1161.6,Open,SHORT,1161.6,41480000.0,
2024-01-10,09:15:00,1163.4,Close,None,1163.4,41253000.0,1253000.0
2024-01-10,10:25:00,1164.4,Open,LONG,1164.4,41253000.0,
2024-01-10,13:00:00,1164.1,Close,None,1164.1,41176000.0,1176000.0
2024-01-10,14:10:00,1163.1,Open,SHORT,1163.1,41176000.0,
2024-01-11,09:00:00,1164.4,Close,None,1164.4,40999000.0,999000.0
2024-01-11,09:25:00,1166.1,Open,LONG,1166.1,40999000.0,
2024-01-11,11:25:00,1170.3,Close,None,1170.3,41372000.0,1372000.0
2024-01-11,13:55:00,1167.1,Open,SHORT,1167.1,41372000.0,
2024-01-12,10:40:00,1160.8,Close,None,1160.8,41955000.0,1955000.0
2024-01-15,09:00:00,1173.4,Open,LONG,1173.4,41955000.0,
2024-01-15,10:00:00,1170.2,Close,None,1170.2,41588000.0,1588000.0
2024-01-15,10:15:00,1171.8,Open,LONG,1171.8,41588000.0,
2024-01-15,10:45:00,1169.2,Close,None,1169.2,41281000.0,1281000.0
2024-01-15,14:10:00,1168.4,Open,SHORT,1168.4,41281000.0,
2024-01-16,10:55:00,1162.2,Close,None,1162.2,41854000.0,1854000.0
2024-01-16,14:10:00,1163.7,Open,LONG,1163.7,41854000.0,
2024-01-17,13:00:00,1174.6,Close,None,1174.6,42897000.0,2897000.0
2024-01-18,09:30:00,1168.0,Open,SHORT,1168.0,42897000.0,
2024-01-18,09:50:00,1170.0,Close,None,1170.0,42650000.0,2650000.0
2024-01-18,10:50:00,1166.4,Open,SHORT,1166.4,42650000.0,
2024-01-18,13:05:00,1168.5,Close,None,1168.5,42393000.0,2393000.0
2024-01-19,09:00:00,1180.7,Open,LONG,1180.7,42393000.0,
2024-01-19,10:15:00,1185.2,Close,None,1185.2,42796000.0,2796000.0
2024-01-19,10:15:00,1185.2,Open,LONG,1185.2,42796000.0,
2024-01-19,13:40:00,1183.7,Close,None,1183.7,42599000.0,2599000.0
2024-01-19,14:10:00,1185.3,Open,LONG,1185.3,42599000.0,
2024-01-22,10:30:00,1189.0,Close,None,1189.0,42922000.0,2922000.0
2024-01-22,13:25:00,1190.2,Open,LONG,1190.2,42922000.0,
2024-01-22,13:40:00,1188.7,Close,None,1188.7,42725000.0,2725000.0
2024-01-22,13:45:00,1186.5,Open,SHORT,1186.5,42725000.0,
2024-01-22,14:15:00,1190.6,Close,None,1190.6,42268000.0,2268000.0
2024-01-23,09:00:00,1193.2,Open,LONG,1193.2,42268000.0,
2024-01-23,10:00:00,1191.9,Close,None,1191.9,42091000.0,2091000.0
2024-01-23,10:35:00,1190.9,Open,SHORT,1190.9,42091000.0,
2024-01-24,09:30:00,1186.9,Close,None,1186.9,42444000.0,2444000.0
2024-01-24,10:40:00,1184.2,Open,SHORT,1184.2,42444000.0,
2024-01-24,11:25:00,1187.9,Close,None,1187.9,42027000.0,2027000.0
2024-01-24,13:15:00,1187.8,Open,LONG,1187.8,42027000.0,
2024-01-24,13:45:00,1185.3,Close,None,1185.3,41730000.0,1730000.0
2024-01-24,14:05:00,1183.7,Open,SHORT,1183.7,41730000.0,
2024-01-25,13:05:00,1181.7,Close,None,1181.7,41883000.0,1883000.0
2024-01-25,13:40:00,1181.8,Open,LONG,1181.8,41883000.0,
2024-01-25,13:45:00,1180.3,Close,None,1180.3,41686000.0,1686000.0
2024-01-25,14:00:00,1178.4,Open,SHORT,1178.4,41686000.0,
2024-01-25,14:25:00,1182.6,Close,None,1182.6,41219000.0,1219000.0
2024-01-26,09:25:00,1184.7,Open,LONG,1184.7,41219000.0,
2024-01-26,13:30:00,1185.3,Close,None,1185.3,41232000.0,1232000.0
2024-01-26,14:00:00,1186.6,Open,LONG,1186.6,41232000.0,
