Date,Time,Price,Action,Position Type,Trade Price,Total Money,Total Point
2024-01-02,10:30:00,1138.0,Open,SHORT,1138.0,40000000.0,
2024-01-02,13:35:00,1133.7,Close,None,1133.7,40383000.0,383000.0
2024-01-02,14:20:00,1132.6,Open,SHORT,1132.6,40383000.0,
2024-01-03,10:25:00,1129.8,Close,None,1129.8,40616000.0,616000.0
2024-01-03,10:35:00,1131.2,Open,LONG,1131.2,40616000.0,
2024-01-04,13:00:00,1159.7,Close,None,1159.7,43419000.0,3419000.0
2024-01-05,10:05:00,1162.5,Open,LONG,1162.5,43419000.0,
2024-01-05,10:25:00,1161.3,Close,None,1161.3,43252000.0,3252000.0
2024-01-05,10:30:00,1158.4,Open,SHORT,1158.4,43252000.0,
2024-01-05,10:50:00,1156.6,Close,None,1156.6,43385000.0,3385000.0
2024-01-05,13:45:00,1156.0,Open,SHORT,1156.0,43385000.0,
2024-01-05,13:55:00,1157.8,Close,None,1157.8,43158000.0,3158000.0
2024-01-05,14:25:00,1163.4,Open,LONG,1163.4,43158000.0,
2024-01-08,10:30:00,1169.7,Close,None,1169.7,43741000.0,3741000.0
2024-01-08,13:10:00,1165.7,Open,SHORT,1165.7,43741000.0,
2024-01-08,13:50:00,1163.8,Close,None,1163.8,43884000.0,3884000.0
2024-01-08,14:15:00,1163.1,Open,SHORT,1163.1,43884000.0,
2024-01-08,14:25:00,1166.0,Close,None,1166.0,43547000.0,3547000.0
2024-01-09,10:40:00,1163.9,Open,LONG,1163.9,43547000.0,
2024-01-09,10:55:00,1163.6,Close,None,1163.6,43470000.0,3470000.0
2024-01-09,13:50:00,1161.3,Open,SHORT,1161.3,43470000.0,
2024-01-09,14:05:00,1164.6,Close,None,1164.6,43093000.0,3093000.0
2024-01-09,14:10:00,1163.9,Open,LONG,1163.9,43093000.0,
2024-01-10,09:00:00,1161.3,Close,None,1161.3,42786000.0,2786000.0
2024-01-10,09:05:00,1161.6,Open,SHORT,1161.6,42786000.0,
2024-01-10,09:15:00,1163.4,Close,None,1163.4,42559000.0,2559000.0
2024-01-10,10:25:00,1164.4,Open,LONG,1164.4,42559000.0,
2024-01-10,13:00:00,1164.1,Close,None,1164.1,42482000.0,2482000.0
2024-01-10,13:15:00,1161.9,Open,SHORT,1161.9,42482000.0,
2024-01-10,13:55:00,1164.0,Close,None,1164.0,42225000.0,2225000.0
2024-01-10,14:15:00,1160.7,Open,SHORT,1160.7,42225000.0,
2024-01-10,14:20:00,1162.7,Close,None,1162.7,41978000.0,1978000.0
2024-01-11,09:25:00,1166.1,Open,LONG,1166.1,41978000.0,
2024-01-11,10:05:00,1171.4,Close,None,1171.4,42461000.0,2461000.0
2024-01-11,10:40:00,1174.8,Open,LONG,1174.8,42461000.0,
2024-01-11,10:45:00,1172.8,Close,None,1172.8,42214000.0,2214000.0
2024-01-11,10:55:00,1175.0,Open,LONG,1175.0,42214000.0,
2024-01-11,11:15:00,1172.2,Close,None,1172.2,41887000.0,1887000.0
2024-01-11,13:05:00,1170.4,Open,SHORT,1170.4,41887000.0,
2024-01-12,10:30:00,1159.6,Close,None,1159.6,42920000.0,2920000.0
2024-01-12,14:15:00,1161.5,Open,SHORT,1161.5,42920000.0,
2024-01-12,14:20:00,1164.7,Close,None,1164.7,42553000.0,2553000.0
2024-01-15,09:00:00,1173.4,Open,LONG,1173.4,42553000.0,
2024-01-15,09:40:00,1171.4,Close,None,1171.4,42306000.0,2306000.0
2024-01-15,10:15:00,1171.8,Open,LONG,1171.8,42306000.0,
2024-01-15,10:35:00,1170.0,Close,None,1170.0,42079000.0,2079000.0
2024-01-15,14:10:00,1168.4,Open,SHORT,1168.4,42079000.0,
2024-01-16,10:50:00,1161.6,Close,None,1161.6,42712000.0,2712000.0
2024-01-16,10:55:00,1162.2,Open,LONG,1162.2,42712000.0,
2024-01-16,13:15:00,1161.6,Close,None,1161.6,42605000.0,2605000.0
2024-01-16,14:05:00,1163.0,Open,LONG,1163.0,42605000.0,
