Date,Time,Price,Action,Position Type,Trade Price,Total Money,Total Point
2023-01-03,09:50:00,1012.1,Open,LONG,1012.1,40000000.0,
2023-01-04,10:55:00,1047.4,Close,None,1047.4,43483000.0,3483000.0
2023-01-05,09:05:00,1047.0,Open,LONG,1047.0,43483000.0,
2023-01-05,10:50:00,1047.8,Close,None,1047.8,43516000.0,3516000.0
2023-01-05,13:10:00,1048.8,Open,LONG,1048.8,43516000.0,
2023-01-06,09:00:00,1051.4,Close,None,1051.4,43729000.0,3729000.0
2023-01-06,09:30:00,1053.7,Open,LONG,1053.7,43729000.0,
2023-01-06,13:20:00,1059.4,Close,None,1059.4,44252000.0,4252000.0
2023-01-06,13:45:00,1056.5,Open,SHORT,1056.5,44252000.0,
2023-01-09,09:00:00,1060.0,Close,None,1060.0,43855000.0,3855000.0
2023-01-09,09:25:00,1059.9,Open,LONG,1059.9,43855000.0,
2023-01-09,09:45:00,1057.6,Close,None,1057.6,43578000.0,3578000.0
2023-01-09,10:30:00,1062.7,Open,LONG,1062.7,43578000.0,
2023-01-09,10:40:00,1059.7,Close,None,1059.7,43231000.0,3231000.0
2023-01-09,13:55:00,1053.7,Open,SHORT,1053.7,43231000.0,
2023-01-10,09:05:00,1056.3,Close,None,1056.3,42924000.0,2924000.0
2023-01-10,10:05:00,1053.0,Open,SHORT,1053.0,42924000.0,
2023-01-10,13:05:00,1052.5,Close,None,1052.5,42927000.0,2927000.0
2023-01-10,13:45:00,1059.2,Open,LONG,1059.2,42927000.0,
2023-01-10,14:00:00,1054.7,Close,None,1054.7,42430000.0,2430000.0
2023-01-10,14:15:00,1057.2,Open,LONG,1057.2,42430000.0,
2023-01-10,14:20:00,1054.3,Close,None,1054.3,42093000.0,2093000.0
2023-01-11,09:00:00,1062.6,Open,LONG,1062.6,42093000.0,
2023-01-11,13:40:00,1065.8,Close,None,1065.8,42366000.0,2366000.0
2023-01-12,09:40:00,1067.1,Open,LONG,1067.1,42366000.0,
2023-01-12,10:05:00,1066.3,Close,None,1066.3,42239000.0,2239000.0
2023-01-12,10:15:00,1064.7,Open,SHORT,1064.7,42239000.0,
2023-01-12,13:50:00,1060.0,Close,None,1060.0,42662000.0,2662000.0
2023-01-13,09:05:00,1071.5,Open,LONG,1071.5,42662000.0,
2023-01-13,11:15:00,1069.8,Close,None,1069.8,42445000.0,2445000.0
2023-01-13,13:20:00,1068.6,Open,SHORT,1068.6,42445000.0,
2023-01-13,13:35:00,1070.6,Close,None,1070.6,42198000.0,2198000.0
2023-01-13,14:05:00,1066.6,Open,SHORT,1066.6,42198000.0,
2023-01-16,09:00:00,1072.7,Close,None,1072.7,41541000.0,1541000.0
2023-01-16,09:25:00,1072.3,Open,LONG,1072.3,41541000.0,
2023-01-16,09:50:00,1069.4,Close,None,1069.4,41204000.0,1204000.0
2023-01-16,10:20:00,1065.8,Open,SHORT,1065.8,41204000.0,
2023-01-16,10:55:00,1068.2,Close,None,1068.2,40917000.0,917000.0
2023-01-16,13:55:00,1070.7,Open,LONG,1070.7,40917000.0,
2023-01-17,13:50:00,1089.0,Close,None,1089.0,42700000.0,2700000.0
2023-01-17,14:15:00,1098.9,Open,LONG,1098.9,42700000.0,
2023-01-18,13:40:00,1110.4,Close,None,1110.4,43803000.0,3803000.0
2023-01-18,13:55:00,1116.5,Open,LONG,1116.5,43803000.0,
2023-01-19,09:00:00,1113.5,Close,None,1113.5,43456000.0,3456000.0
2023-01-19,10:05:00,1122.1,Open,LONG,1122.1,43456000.0,
2023-01-19,11:00:00,1118.6,Close,None,1118.6,43059000.0,3059000.0
2023-01-19,13:45:00,1117.3,Open,SHORT,1117.3,43059000.0,
2023-01-19,13:50:00,1119.9,Close,None,1119.9,42752000.0,2752000.0
2023-01-19,13:50:00,1119.9,Open,LONG,1119.9,42752000.0,
2023-01-19,14:25:00,1121.0,Close_Future_Expired,None,1121.0,42814999.99999999,109999.9999999909
2023-01-27,10:30:00,1138.2,Open,SHORT,1138.2,42814999.99999999,
2023-01-27,10:35:00,1140.2,Close,None,1140.2,42567999.99999999,-137000.00000000908
2023-01-27,11:10:00,1141.8,Open,LONG,1141.8,42567999.99999999,
2023-01-27,13:05:00,1140.5,Close,None,1140.5,42390999.99999999,-314000.0000000091
2023-01-27,13:50:00,1137.1,Open,SHORT,1137.1,42390999.99999999,
2023-01-30,13:15:00,1125.3,Close,None,1125.3,43523999.99999999,818999.9999999909
2023-01-30,13:35:00,1122.5,Open,SHORT,1122.5,43523999.99999999,
2023-01-30,13:55:00,1124.8,Close,None,1124.8,43246999.99999999,541999.9999999909
2023-01-30,14:05:00,1119.0,Open,SHORT,1119.0,43246999.99999999,
2023-01-31,13:35:00,1104.4,Close,None,1104.4,44659999.99999999,1954999.999999991
2023-01-31,13:55:00,1108.0,Open,LONG,1108.0,44659999.99999999,
2023-02-01,10:40:00,1116.8,Close,None,1116.8,45492999.99999999,2787999.9999999907
2023-02-01,11:05:00,1115.6,Open,SHORT,1115.6,45492999.99999999,
2023-02-01,13:25:00,1118.3,Close,None,1118.3,45175999.99999999,2470999.9999999907
2023-02-01,13:45:00,1121.6,Open,LONG,1121.6,45175999.99999999,
2023-02-01,13:50:00,1114.8,Close,None,1114.8,44448999.99999999,1743999.9999999907
2023-02-02,09:10:00,1092.0,Open,SHORT,1092.0,44448999.99999999,
2023-02-02,11:10:00,1094.4,Close,None,1094.4,44161999.99999999,1456999.9999999907
2023-02-02,14:15:00,1090.5,Open,SHORT,1090.5,44161999.99999999,
2023-02-03,10:30:00,1090.6,Close,None,1090.6,44104999.99999999,1399999.9999999907
2023-02-03,10:45:00,1088.7,Open,SHORT,1088.7,44104999.99999999,
2023-02-03,13:00:00,1090.0,Close,None,1090.0,43927999.99999999,1222999.9999999907
2023-02-03,13:25:00,1087.2,Open,SHORT,1087.2,43927999.99999999,
2023-02-06,10:50:00,1077.6,Close,None,1077.6,44840999.99999999,2135999.9999999907
2023-02-06,11:15:00,1081.0,Open,LONG,1081.0,44840999.99999999,
2023-02-06,13:35:00,1079.1,Close,None,1079.1,44603999.99999999,1898999.9999999907
2023-02-07,09:05:00,1089.8,Open,LONG,1089.8,44603999.99999999,
2023-02-07,10:45:00,1087.6,Close,None,1087.6,44336999.99999999,1631999.9999999907
2023-02-07,11:00:00,1085.5,Open,SHORT,1085.5,44336999.99999999,
2023-02-08,09:00:00,1071.0,Close,None,1071.0,45739999.99999999,3034999.9999999907
2023-02-08,11:10:00,1069.6,Open,SHORT,1069.6,45739999.99999999,
2023-02-08,13:30:00,1071.8,Close,None,1071.8,45472999.99999999,2767999.9999999907
2023-02-08,14:00:00,1077.7,Open,LONG,1077.7,45472999.99999999,
2023-02-08,14:20:00,1072.8,Close,None,1072.8,44935999.99999999,2230999.9999999907
2023-02-09,09:05:00,1067.9,Open,SHORT,1067.9,44935999.99999999,
2023-02-09,10:15:00,1069.0,Close,None,1069.0,44778999.99999999,2073999.9999999907
2023-02-09,11:00:00,1067.0,Open,SHORT,1067.0,44778999.99999999,
2023-02-09,13:00:00,1069.0,Close,None,1069.0,44531999.99999999,1826999.9999999907
2023-02-09,13:45:00,1070.8,Open,LONG,1070.8,44531999.99999999,
2023-02-09,14:10:00,1068.0,Close,None,1068.0,44204999.99999999,1499999.9999999907
2023-02-10,09:00:00,1056.8,Open,SHORT,1056.8,44204999.99999999,
2023-02-13,14:15:00,1033.9,Close,None,1033.9,46447999.99999999,3742999.9999999907
2023-02-14,09:30:00,1036.2,Open,LONG,1036.2,46447999.99999999,
2023-02-14,09:45:00,1034.4,Close,None,1034.4,46220999.99999999,3515999.9999999907
2023-02-14,10:10:00,1037.4,Open,LONG,1037.4,46220999.99999999,
2023-02-14,11:15:00,1035.9,Close,None,1035.9,46023999.99999999,3318999.9999999907
2023-02-14,13:25:00,1033.0,Open,SHORT,1033.0,46023999.99999999,
2023-02-14,13:35:00,1035.3,Close,None,1035.3,45746999.99999999,3041999.9999999907
2023-02-14,14:10:00,1031.3,Open,SHORT,1031.3,45746999.99999999,
2023-02-15,09:40:00,1032.2,Close,None,1032.2,45609999.99999999,2904999.9999999907
2023-02-15,09:55:00,1035.3,Open,LONG,1035.3,45609999.99999999,
2023-02-15,13:25:00,1040.5,Close,None,1040.5,46082999.99999999,3377999.9999999907
2023-02-15,14:05:00,1035.3,Open,SHORT,1035.3,46082999.99999999,
2023-02-16,09:00:00,1042.9,Close,None,1042.9,45275999.99999999,2570999.9999999907
2023-02-16,09:10:00,1044.8,Open,LONG,1044.8,45275999.99999999,
2023-02-16,13:00:00,1043.8,Close,None,1043.8,45128999.99999999,2423999.9999999907
2023-02-16,14:00:00,1048.5,Open,LONG,1048.5,45128999.99999999,
2023-02-16,14:25:00,1052.5,Close_Future_Expired,None,1052.5,45481999.99999999,400000.0
2023-02-17,10:30:00,1045.9,Open,SHORT,1045.9,45481999.99999999,
2023-02-17,13:35:00,1047.5,Close,None,1047.5,45274999.99999999,192999.99999999997
2023-02-17,14:00:00,1043.6,Open,SHORT,1043.6,45274999.99999999,
2023-02-17,14:10:00,1046.8,Close,None,1046.8,44907999.99999999,-174000.00000000003
2023-02-20,09:00:00,1050.8,Open,LONG,1050.8,44907999.99999999,
2023-02-21,11:00:00,1083.8,Close,None,1083.8,48160999.99999999,3079000.0
2023-02-21,13:25:00,1082.7,Open,SHORT,1082.7,48160999.99999999,
2023-02-21,13:30:00,1086.3,Close,None,1086.3,47753999.99999999,2672000.0
2023-02-22,09:00:00,1065.0,Open,SHORT,1065.0,47753999.99999999,
2023-02-22,09:55:00,1068.6,Close,None,1068.6,47346999.99999999,2265000.0
2023-02-22,10:30:00,1066.7,Open,SHORT,1066.7,47346999.99999999,
2023-02-22,13:40:00,1066.5,Close,None,1066.5,47319999.99999999,2238000.0
2023-02-23,09:25:00,1044.0,Open,SHORT,1044.0,47319999.99999999,
2023-02-23,14:20:00,1036.5,Close,None,1036.5,48022999.99999999,2941000.0
2023-02-24,09:00:00,1046.2,Open,LONG,1046.2,48022999.99999999,
2023-02-24,09:20:00,1042.0,Close,None,1042.0,47555999.99999999,2474000.0
2023-02-24,09:20:00,1042.0,Open,LONG,1042.0,47555999.99999999,
2023-02-24,09:55:00,1038.8,Close,None,1038.8,47188999.99999999,2107000.0
2023-02-24,10:55:00,1035.5,Open,SHORT,1035.5,47188999.99999999,
2023-02-24,14:20:00,1032.2,Close,None,1032.2,47471999.99999999,2390000.0
2023-02-27,09:00:00,1017.4,Open,SHORT,1017.4,47471999.99999999,
2023-02-27,13:00:00,1007.0,Close,None,1007.0,48464999.99999999,3383000.0
2023-02-27,14:10:00,1015.5,Open,LONG,1015.5,48464999.99999999,
2023-02-27,14:15:00,1010.7,Close,None,1010.7,47937999.99999999,2856000.0
2023-02-28,09:10:00,1019.2,Open,LONG,1019.2,47937999.99999999,
2023-02-28,09:55:00,1015.9,Close,None,1015.9,47560999.99999999,2479000.0
2023-02-28,13:55:00,1013.9,Open,SHORT,1013.9,47560999.99999999,
2023-03-01,10:20:00,1006.1,Close,None,1006.1,48293999.99999999,3212000.0
2023-03-01,13:20:00,1026.6,Open,LONG,1026.6,48293999.99999999,
2023-03-01,13:40:00,1023.2,Close,None,1023.2,47906999.99999999,2825000.0
2023-03-01,14:15:00,1028.6,Open,LONG,1028.6,47906999.99999999,
2023-03-02,10:20:00,1030.0,Close,None,1030.0,47999999.99999999,2918000.0
2023-03-02,11:15:00,1025.9,Open,SHORT,1025.9,47999999.99999999,
2023-03-02,11:25:00,1027.9,Close,None,1027.9,47752999.99999999,2671000.0
2023-03-02,14:20:00,1029.5,Open,LONG,1029.5,47752999.99999999,
2023-03-02,14:25:00,1024.7,Close,None,1024.7,47225999.99999999,2144000.0
2023-03-03,09:00:00,1029.8,Open,LONG,1029.8,47225999.99999999,
2023-03-03,09:35:00,1028.2,Close,None,1028.2,47018999.99999999,1937000.0
2023-03-03,10:10:00,1025.1,Open,SHORT,1025.1,47018999.99999999,
2023-03-03,13:55:00,1020.6,Close,None,1020.6,47421999.99999999,2340000.0
2023-03-06,09:25:00,1026.0,Open,LONG,1026.0,47421999.99999999,
2023-03-06,13:25:00,1027.6,Close,None,1027.6,47534999.99999999,2453000.0
2023-03-06,13:45:00,1025.9,Open,SHORT,1025.9,47534999.99999999,
2023-03-07,09:00:00,1020.4,Close,None,1020.4,48037999.99999999,2956000.0
2023-03-07,10:00:00,1030.7,Open,LONG,1030.7,48037999.99999999,
2023-03-07,10:15:00,1027.7,Close,None,1027.7,47690999.99999999,2609000.0
2023-03-07,14:10:00,1034.1,Open,LONG,1034.1,47690999.99999999,
2023-03-07,14:15:00,1027.7,Close,None,1027.7,47003999.99999999,1922000.0
2023-03-07,14:25:00,1020.0,Open,SHORT,1020.0,47003999.99999999,
2023-03-08,10:20:00,1020.7,Close,None,1020.7,46886999.99999999,1805000.0
2023-03-08,10:55:00,1015.7,Open,SHORT,1015.7,46886999.99999999,
2023-03-08,13:00:00,1019.2,Close,None,1019.2,46489999.99999999,1408000.0
2023-03-08,14:05:00,1026.2,Open,LONG,1026.2,46489999.99999999,
2023-03-09,10:10:00,1036.9,Close,None,1036.9,47512999.99999999,2431000.0
2023-03-09,11:25:00,1042.0,Open,LONG,1042.0,47512999.99999999,
2023-03-10,09:00:00,1042.0,Close,None,1042.0,47465999.99999999,2384000.0
2023-03-10,11:00:00,1037.9,Open,SHORT,1037.9,47465999.99999999,
2023-03-10,13:05:00,1040.4,Close,None,1040.4,47168999.99999999,2087000.0
2023-03-10,13:30:00,1038.6,Open,SHORT,1038.6,47168999.99999999,
2023-03-10,13:40:00,1041.6,Close,None,1041.6,46821999.99999999,1740000.0
2023-03-10,13:55:00,1044.0,Open,LONG,1044.0,46821999.99999999,
2023-03-10,14:10:00,1036.8,Close,None,1036.8,46054999.99999999,973000.0
2023-03-10,14:15:00,1037.1,Open,SHORT,1037.1,46054999.99999999,
2023-03-10,14:20:00,1041.0,Close,None,1041.0,45617999.99999999,536000.0
2023-03-13,09:00:00,1045.5,Open,LONG,1045.5,45617999.99999999,
2023-03-13,13:15:00,1049.9,Close,None,1049.9,46010999.99999999,929000.0
2023-03-14,09:05:00,1046.7,Open,SHORT,1046.7,46010999.99999999,
2023-03-15,09:00:00,1057.0,Close,None,1057.0,44933999.99999999,-148000.00000000023
2023-03-15,09:00:00,1057.0,Open,LONG,1057.0,44933999.99999999,
2023-03-15,09:45:00,1053.5,Close,None,1053.5,44536999.99999999,-545000.0000000002
2023-03-15,10:05:00,1054.3,Open,LONG,1054.3,44536999.99999999,
