Date,Time,Price,Action,Position Type,Trade Price,Total Money,Total Point
2024-01-02,10:35:00,1137.6,Open,SHORT,1137.6,40000000.0,
2024-01-02,13:35:00,1133.7,Close,None,1133.7,40343000.0,343000.0
2024-01-03,09:00:00,1128.3,Open,SHORT,1128.3,40343000.0,
2024-01-03,10:35:00,1131.2,Close,None,1131.2,40006000.0,6000.0
2024-01-03,11:00:00,1133.7,Open,LONG,1133.7,40006000.0,
2024-01-04,13:00:00,1159.7,Close,None,1159.7,42559000.0,2559000.0
2024-01-04,13:25:00,1167.1,Open,LONG,1167.1,42559000.0,
2024-01-04,14:20:00,1160.5,Close,None,1160.5,41852000.0,1852000.0
2024-01-05,10:40:00,1157.1,Open,SHORT,1157.1,41852000.0,
2024-01-05,13:15:00,1158.4,Close,None,1158.4,41675000.0,1675000.0
2024-01-05,14:20:00,1162.9,Open,LONG,1162.9,41675000.0,
2024-01-08,10:30:00,1169.7,Close,None,1169.7,42308000.0,2308000.0
2024-01-08,13:15:00,1165.1,Open,SHORT,1165.1,42308000.0,
2024-01-08,13:50:00,1163.8,Close,None,1163.8,42391000.0,2391000.0
2024-01-09,09:25:00,1162.0,Open,SHORT,1162.0,42391000.0,
2024-01-09,10:40:00,1163.9,Close,None,1163.9,42154000.0,2154000.0
2024-01-09,11:05:00,1162.0,Open,SHORT,1162.0,42154000.0,
2024-01-09,14:05:00,1164.6,Close,None,1164.6,41847000.0,1847000.0
2024-01-10,10:30:00,1165.1,Open,LONG,1165.1,41847000.0,
2024-01-10,11:20:00,1167.1,Close,None,1167.1,42000000.0,2000000.0
2024-01-10,13:20:00,1161.8,Open,SHORT,1161.8,42000000.0,
2024-01-10,14:00:00,1166.3,Close,None,1166.3,41503000.0,1503000.0
2024-01-10,14:05:00,1166.9,Open,LONG,1166.9,41503000.0,
2024-01-10,14:10:00,1163.1,Close,None,1163.1,41076000.0,1076000.0
2024-01-10,14:15:00,1160.7,Open,SHORT,1160.7,41076000.0,
2024-01-11,09:00:00,1164.4,Close,None,1164.4,40659000.0,659000.0
2024-01-11,09:45:00,1172.1,Open,LONG,1172.1,40659000.0,
2024-01-11,13:15:00,1169.5,Close,None,1169.5,40352000.0,352000.0
2024-01-11,13:35:00,1168.4,Open,SHORT,1168.4,40352000.0,
2024-01-11,14:20:00,1166.0,Close,None,1166.0,40545000.0,545000.0
2024-01-12,09:00:00,1163.0,Open,SHORT,1163.0,40545000.0,
2024-01-12,10:45:00,1162.4,Close,None,1162.4,40558000.0,558000.0
2024-01-12,13:20:00,1168.3,Open,LONG,1168.3,40558000.0,
2024-01-12,14:15:00,1161.5,Close,None,1161.5,39831000.0,-169000.0
2024-01-15,09:00:00,1173.4,Open,LONG,1173.4,39831000.0,
2024-01-15,11:05:00,1168.8,Close,None,1168.8,39324000.0,-676000.0
2024-01-15,14:15:00,1167.1,Open,SHORT,1167.1,39324000.0,
2024-01-16,10:50:00,1161.6,Close,None,1161.6,39827000.0,-173000.0
2024-01-16,14:15:00,1167.3,Open,LONG,1167.3,39827000.0,
2024-01-17,13:00:00,1174.6,Close,None,1174.6,40510000.0,510000.0
2024-01-17,13:45:00,1167.4,Open,SHORT,1167.4,40510000.0,
2024-01-18,09:50:00,1170.0,Close,None,1170.0,40203000.0,203000.0
2024-01-18,10:40:00,1167.2,Open,SHORT,1167.2,40203000.0,
2024-01-18,13:10:00,1169.5,Close,None,1169.5,39926000.0,-73999.99999999994
2024-01-18,13:25:00,1171.7,Open,LONG,1171.7,39926000.0,
2024-01-18,14:30:00,1172.8,Close_Future_Expired,None,1172.8,39988999.99999999,109999.9999999909
