SampleIndex,EMA_Short,EMA_Long,RSI_Period,RSI_lower,RSI_upper,ATR_period,Max_Loss,Min_Profit,ATR_Mult,Volume_Threshold,Volume_window,RSI_exit_threshold,Sharpe,mdd,net_profit
1,5,20,10,40,55,10,2.0,0.5,1.0,1.0,10,50,0.6530835526014909,-0.16659790411750094,9167000.00000003
2,5,20,10,40,55,10,2.0,0.5,1.0,1.0,15,50,0.5130744097133322,-0.17294212280231355,6576000.000000037
3,5,20,10,40,55,10,2.0,0.5,1.0,1.2,10,50,1.7843451087028064,-0.0910400965901344,26761000.0
4,5,20,10,40,55,10,2.0,0.5,1.0,1.2,15,50,1.6302228365861966,-0.1183660638337215,23380000.000000022
5,5,20,10,40,55,10,2.0,0.5,1.5,1.0,10,50,0.4516089235355194,-0.18858492422751427,5593000.00000003
6,5,20,10,40,55,10,2.0,0.5,1.5,1.0,15,50,0.28968671265300805,-0.22842464440440127,2928000.0000000373
7,5,20,10,40,55,10,2.0,0.5,1.5,1.2,10,50,1.596765216175397,-0.09647703783589456,23288000.000000007
8,5,20,10,40,55,10,2.0,0.5,1.5,1.2,15,50,1.4315447054530956,-0.09455038846139534,19892000.000000022
9,5,20,10,40,55,10,2.0,1.0,1.0,1.0,10,50,0.6450355263211922,-0.16212678936605265,9009000.00000003
10,5,20,10,40,55,10,2.0,1.0,1.0,1.0,15,50,0.4707422353464412,-0.17410585173045406,5877000.000000037
11,5,20,10,40,55,10,2.0,1.0,1.0,1.2,10,50,1.7878600039451136,-0.09371832871211382,26916000.0
12,5,20,10,40,55,10,2.0,1.0,1.0,1.2,15,50,1.57926848694206,-0.12026771478364032,22601000.000000022
13,5,20,10,40,55,10,2.0,1.0,1.5,1.0,10,50,0.4717866242510504,-0.18735335523228533,5927000.00000003
14,5,20,10,40,55,10,2.0,1.0,1.5,1.0,15,50,0.3129649952487124,-0.22679862961553096,3302000.0000000373
15,5,20,10,40,55,10,2.0,1.0,1.5,1.2,10,50,1.6107101324381539,-0.0962219334020525,23465000.000000007
16,5,20,10,40,55,10,2.0,1.0,1.5,1.2,15,50,1.4206155340718183,-0.09479706309865439,19752000.000000022
17,5,20,10,40,55,10,3.0,0.5,1.0,1.0,10,50,0.9329724014551467,-0.17396761383510576,14467000.00000003
18,5,20,10,40,55,10,3.0,0.5,1.0,1.0,15,50,0.8343745800074595,-0.14269162388381645,12176000.000000037
19,5,20,10,40,55,10,3.0,0.5,1.0,1.2,10,50,1.8049224979625287,-0.09776715443362662,27371000.0
20,5,20,10,40,55,10,3.0,0.5,1.0,1.2,15,50,1.6880726446952368,-0.11239501615136117,24327000.00000003
21,5,20,10,40,55,10,3.0,0.5,1.5,1.0,10,50,0.7562046214418278,-0.1612994923857866,11019000.00000003
22,5,20,10,40,55,10,3.0,0.5,1.5,1.0,15,50,0.6564699662815582,-0.15628740203080962,9031000.000000037
23,5,20,10,40,55,10,3.0,0.5,1.5,1.2,10,50,1.619908522586126,-0.10038525202513648,23941000.000000007
24,5,20,10,40,55,10,3.0,0.5,1.5,1.2,15,50,1.4821846541655255,-0.1004750119137291,20752000.000000022
25,5,20,10,40,55,10,3.0,1.0,1.0,1.0,10,50,0.9431199425424517,-0.16916810915385347,14609000.00000003
26,5,20,10,40,55,10,3.0,1.0,1.0,1.0,15,50,0.8259393482162389,-0.1524167262898475,12034000.000000037
27,5,20,10,40,55,10,3.0,1.0,1.0,1.2,10,50,1.8271423276379113,-0.10016576796295928,27826000.0
28,5,20,10,40,55,10,3.0,1.0,1.0,1.2,15,50,1.650155163016558,-0.11427778291847861,23768000.00000003
29,5,20,10,40,55,10,3.0,1.0,1.5,1.0,10,50,0.7811532191307713,-0.15729088815723008,11433000.00000003
30,5,20,10,40,55,10,3.0,1.0,1.5,1.0,15,50,0.6845610181799386,-0.15492957746478875,9485000.000000037
31,5,20,10,40,55,10,3.0,1.0,1.5,1.2,10,50,1.6400859462774173,-0.10000875605627225,24198000.0
32,5,20,10,40,55,10,3.0,1.0,1.5,1.2,15,50,1.4712608595680323,-0.1006917163500792,20612000.000000022
33,5,20,10,40,55,14,2.0,0.5,1.0,1.0,10,50,0.8774300175555512,-0.15381844380403448,13091000.00000003
34,5,20,10,40,55,14,2.0,0.5,1.0,1.0,15,50,0.7391667876381828,-0.17379978352992972,10364000.000000037
35,5,20,10,40,55,14,2.0,0.5,1.0,1.2,10,50,1.9897826918698605,-0.08672326487585412,30283000.0
36,5,20,10,40,55,14,2.0,0.5,1.0,1.2,15,50,1.8753167740619114,-0.08588942969969694,27479000.00000003
37,5,20,10,40,55,14,2.0,0.5,1.5,1.0,10,50,0.43311566499261506,-0.16932958014510568,5272000.00000003
38,5,20,10,40,55,14,2.0,0.5,1.5,1.0,15,50,0.27076312830409743,-0.21889952153110043,2637000.0000000373
39,5,20,10,40,55,14,2.0,0.5,1.5,1.2,10,50,1.574745699866916,-0.09627658779390431,22780000.000000007
40,5,20,10,40,55,14,2.0,0.5,1.5,1.2,15,50,1.368653348126967,-0.09330445428006388,18847000.000000022
41,5,20,10,40,55,14,2.0,1.0,1.0,1.0,10,50,0.8701552279266166,-0.1558051309018518,12990000.00000003
42,5,20,10,40,55,14,2.0,1.0,1.0,1.0,15,50,0.6726877787836542,-0.1824895683320409,9255000.000000037
43,5,20,10,40,55,14,2.0,1.0,1.0,1.2,10,50,1.9873470261888373,-0.08716707021791766,30688000.0
44,5,20,10,40,55,14,2.0,1.0,1.0,1.2,15,50,1.7968037739698144,-0.09825003707548553,26580000.00000003
45,5,20,10,40,55,14,2.0,1.0,1.5,1.0,10,50,0.43311566499261506,-0.16932958014510568,5272000.00000003
46,5,20,10,40,55,14,2.0,1.0,1.5,1.0,15,50,0.27076312830409743,-0.21889952153110043,2637000.0000000373
47,5,20,10,40,55,14,2.0,1.0,1.5,1.2,10,50,1.574745699866916,-0.09627658779390431,22780000.000000007
48,5,20,10,40,55,14,2.0,1.0,1.5,1.2,15,50,1.368653348126967,-0.09330445428006388,18847000.000000022
49,5,20,10,40,55,14,3.0,0.5,1.0,1.0,10,50,1.1144643159076963,-0.13545270311764337,17778000.00000003
