SampleIndex,EMA_Short,EMA_Long,RSI_Period,RSI_lower,RSI_upper,ATR_period,Max_Loss,Min_Profit,ATR_Mult,Volume_Threshold,Volume_window,RSI_exit_threshold,Sharpe,mdd,net_profit
1,10,30,18,25,60,10,5.0,2.0,1.5,1.4,5,50,0.20772312107790034,-0.23770749921274012,2077000.0
2,10,30,18,30,60,14,4.5,0.5,1.0,1.0,15,55,2.5496257405771887,-0.0703486365205385,35083999.999999985
3,15,35,10,40,60,14,2.0,1.0,1.5,1.0,10,45,0.618327378700891,-0.22007502318132,7981999.999999985
4,15,25,14,45,55,14,3.5,0.5,2.0,1.0,10,50,0.7336206959808245,-0.16793368552162502,10189000.0
5,8,20,14,25,55,14,4.5,2.0,1.5,1.0,15,50,0.9019941989235488,-0.15143896907578994,11894999.999999993
6,10,35,14,35,70,21,4.5,0.5,1.0,1.0,20,45,2.106793962269372,-0.08515268677795013,28426000.000000015
7,15,40,10,35,50,21,3.0,1.0,1.0,1.0,10,50,1.0566453989240332,-0.13423645320197036,14504999.999999985
8,5,20,18,35,60,21,1.5,2.0,1.0,1.4,5,55,1.47336804854838,-0.10300853165693785,16690999.999999993
9,8,40,14,35,70,10,5.0,1.0,2.0,1.2,10,50,1.4162360960123983,-0.10641389168795257,19319999.999999993
10,8,20,14,30,70,21,4.0,0.5,1.5,0.8,10,45,1.4978341979978844,-0.09272340717371923,20831000.000000015
11,15,40,10,25,55,10,1.5,1.0,1.5,1.2,5,50,1.1785597601349191,-0.16398530529516078,15385999.999999993
12,12,35,18,25,65,14,1.5,1.0,1.0,1.0,5,55,2.179268332557757,-0.06411054400597535,25578000.0
13,8,30,18,30,55,21,1.5,0.5,2.0,1.4,5,50,0.07188454398556854,-0.27006958389763247,449000.0
14,5,40,14,25,70,10,3.0,0.5,2.0,0.8,15,55,1.8280695440172214,-0.1077553409423471,26971000.0
15,8,20,18,25,60,21,3.0,1.5,1.5,0.8,20,45,1.664138845474364,-0.1358224200753129,22907000.000000007
16,10,20,10,25,60,21,1.5,1.5,2.0,0.8,15,45,1.3626647843475592,-0.13251741226895283,19030999.999999993
17,8,40,14,30,60,21,2.0,1.5,2.0,1.4,5,50,0.6793257168828377,-0.174466785885637,7604000.000000015
18,10,25,18,40,55,14,4.0,0.5,1.0,0.8,5,50,0.6423321840866647,-0.13801036362011954,8898999.999999993
19,15,25,18,30,60,21,5.0,1.0,1.0,0.8,20,55,1.9876914676310864,-0.11798121625423703,27967000.000000015
20,15,20,14,40,55,14,2.0,0.5,1.0,1.0,10,55,0.8093836051300303,-0.12560026193247986,11150000.0
21,15,25,10,25,65,21,3.0,2.0,1.5,1.4,20,55,0.9624501930180372,-0.18401776752728127,11291999.999999985
22,10,20,18,35,60,21,3.5,1.0,2.0,0.8,15,55,1.1754468711436532,-0.1349386100846349,16510999.999999993
23,5,20,14,30,70,14,2.0,2.0,1.0,0.8,10,55,2.020512191406935,-0.11219114606131061,27848000.0
24,15,30,14,25,60,10,2.0,2.0,1.0,1.4,10,55,1.362696142944328,-0.08167826957554307,13787000.0
25,8,40,10,35,50,10,4.0,2.0,2.0,1.2,20,55,1.2657372113096965,-0.12498021212600907,17272999.999999993
26,8,40,10,40,55,21,5.0,1.5,2.0,1.2,5,50,1.0742841715673899,-0.14353893682752733,15238999.99999997
27,5,40,10,45,65,21,2.5,0.5,2.0,1.4,15,55,0.8517183730383836,-0.17810768889873682,10716999.999999978
28,12,20,10,45,70,21,1.5,1.5,1.5,1.0,15,55,0.9096223367839771,-0.14204587088737475,12010000.0
29,15,40,10,25,60,14,1.5,1.5,1.0,1.4,5,45,1.0275919736632524,-0.1387982800800655,10560000.0
30,15,30,18,25,65,14,3.5,1.0,2.0,1.4,15,50,1.172664568616671,-0.16658389019324543,12452000.0
31,15,25,14,30,65,14,1.5,2.0,1.0,1.2,5,55,1.4168549462396958,-0.09417422669144168,17058999.999999985
32,12,20,10,35,70,10,4.0,1.5,2.0,1.2,5,50,0.9300192318700846,-0.175040985422482,12537000.0
33,8,35,18,25,50,21,2.0,0.5,2.0,0.8,10,50,1.0153104277287586,-0.21404695050904443,13589999.999999993
34,5,25,14,30,55,21,5.0,2.0,1.0,0.8,15,55,1.1684582701979864,-0.11289845894025739,17944999.999999985
35,5,25,14,30,70,21,2.0,1.5,2.0,1.4,5,45,0.8495010222334359,-0.12542167457832543,8586000.000000007
36,12,20,10,45,60,10,3.5,1.5,1.5,1.4,20,50,1.4487121758780221,-0.09249323393950906,17338999.999999985
37,10,25,14,35,55,21,3.5,1.5,1.0,0.8,10,45,1.3478255274270654,-0.11541806435582046,20739999.99999997
38,15,25,10,40,50,14,3.5,2.0,1.5,1.0,5,55,0.442332473409476,-0.2369739264460331,5443000.0
39,8,40,10,35,60,14,3.5,0.5,1.5,1.4,15,45,0.7114781418440025,-0.15600323043790365,8343999.999999993
40,15,25,18,35,60,14,2.0,1.0,1.5,1.2,20,50,0.9594105009943206,-0.13771380186282797,10918000.000000007
41,10,20,18,30,70,10,4.5,0.5,2.0,0.8,10,55,2.2247119295891022,-0.07347648649114046,29644000.0
42,10,20,18,35,60,21,3.0,1.5,1.5,1.4,5,45,0.9195654805678094,-0.1127985614323133,10732000.000000007
43,15,20,18,30,70,10,5.0,1.0,1.0,1.2,15,50,2.163490680261471,-0.0989354179761155,25044000.000000015
44,12,20,14,40,70,10,3.0,2.0,1.5,1.2,20,50,1.4847397681232162,-0.09946892760644727,17838000.0
45,10,40,18,30,55,14,2.0,1.5,2.0,1.0,15,45,1.15442411734201,-0.16823402297010676,15816000.0
46,10,40,18,40,70,21,3.5,1.5,2.0,1.0,10,50,1.5321935372674482,-0.11695920136854686,21770000.000000007
47,12,30,14,25,55,14,4.0,1.0,1.5,0.8,5,45,1.299612516130477,-0.17332472927463755,17753999.999999978
48,5,20,14,35,70,10,1.5,2.0,1.0,1.2,10,45,1.5171982532265742,-0.10712473160257618,18520000.0
49,12,40,14,45,65,21,3.0,2.0,1.0,1.0,5,45,1.8804552438181017,-0.08600348943476696,29370000.0
50,5,35,10,45,60,21,2.0,2.0,2.0,1.0,15,45,0.9933923680749519,-0.200999798698249,13802999.999999963
51,10,35,14,45,65,21,2.0,0.5,1.5,1.0,10,45,1.2820437971982082,-0.1440120164720182,18078999.999999993
52,10,25,18,40,60,10,1.5,1.5,1.5,1.4,10,55,0.64496429233806,-0.1578067750851705,7422999.999999985
53,15,40,14,40,60,14,3.0,1.0,1.0,0.8,10,45,1.3820734385885387,-0.12813664462489502,20351000.0
54,10,35,18,45,55,10,2.0,1.5,1.0,1.4,10,55,1.2388157414029295,-0.1345421887696188,15213999.999999985
55,8,35,18,40,50,21,5.0,1.5,1.0,1.0,5,45,1.6036164491697045,-0.10827461399253002,24604000.0
56,12,40,10,30,60,10,3.0,1.5,1.5,1.2,5,45,1.2604325559514933,-0.1831136722019973,18050999.999999993
57,5,35,14,30,60,21,1.5,1.0,1.5,1.4,10,50,0.9661030578019832,-0.16450216450216434,11326999.999999993
58,10,20,10,35,65,21,1.5,2.0,2.0,1.4,5,55,0.46585144407742923,-0.12395695325755991,4875999.999999985
59,5,40,18,45,65,14,3.5,1.5,2.0,1.4,15,45,1.0978005869241956,-0.15855106888361029,14686999.999999985
60,8,20,14,40,60,10,1.5,0.5,2.0,1.0,20,50,0.942088760437824,-0.11660884803833939,12596999.999999985
61,5,40,18,35,65,14,4.5,1.5,1.5,0.8,15,55,1.5939318957374404,-0.10054375856530261,22332000.000000007
62,12,40,10,30,55,14,1.5,1.5,1.5,1.2,15,50,0.6713884964391846,-0.1916551464119642,7820000.0
63,15,25,10,45,60,14,5.0,1.0,1.5,0.8,15,55,1.1678733682209383,-0.1705596021851799,17092000.00000003
64,8,35,14,25,60,14,4.0,2.0,1.0,0.8,10,45,2.001629876043625,-0.10682958000116184,28783000.0
65,5,30,18,40,55,10,4.0,2.0,1.5,0.8,5,55,0.6334784803824636,-0.17352693897568824,8718999.99999997
66,10,35,10,35,65,14,4.0,2.0,1.5,0.8,20,45,0.9106284947219666,-0.1864880331235064,11890000.000000015
67,15,30,10,25,60,14,4.0,1.5,1.0,0.8,15,55,1.8154915043353002,-0.09491246716265267,26640999.99999997
68,8,35,14,45,60,10,5.0,0.5,1.0,0.8,10,55,1.7067999510508307,-0.1283151019123318,27240000.000000015
69,15,30,14,30,65,10,5.0,1.5,1.0,0.8,10,55,1.9082863527130243,-0.08387951471203459,26383999.99999997
70,5,30,14,45,55,21,3.5,0.5,1.5,0.8,10,45,0.6907746329737732,-0.21560505989029444,10100999.999999963
71,15,20,10,25,70,21,3.5,1.5,2.0,0.8,15,55,1.9263200495202937,-0.07807481503970874,26831000.000000015
72,5,20,14,35,50,14,2.0,2.0,1.5,0.8,5,55,0.3852209397867813,-0.17444625437660344,4469999.999999993
73,8,35,10,40,70,10,4.5,1.0,1.0,1.0,20,55,1.9361805304643522,-0.08173583315778386,27256000.0
74,15,30,10,30,55,14,4.0,1.5,1.0,1.0,20,45,1.3841353080502652,-0.10009836166354155,19123999.999999985
75,12,30,18,25,50,14,4.5,0.5,1.5,1.2,20,45,1.5046004483090245,-0.18536796894358637,18189000.0
76,8,35,14,35,50,14,3.5,1.0,1.0,1.4,15,50,1.9875206818285402,-0.12556182070768965,25660999.99999997
77,5,25,10,25,70,10,2.0,1.0,1.5,1.4,20,45,1.1683284725034706,-0.13869521378156294,13281000.000000007
78,5,40,14,30,60,14,1.5,2.0,2.0,1.4,5,50,0.47555861959057527,-0.18836360275428624,5345000.000000007
79,5,30,18,40,70,10,2.0,0.5,1.5,0.8,5,50,1.1612504696249561,-0.15146312472878878,15557000.0
80,8,35,10,40,50,10,3.0,2.0,2.0,1.2,15,45,0.9090907608189258,-0.16764365599691466,11917999.999999978
81,12,30,14,40,55,10,2.0,1.0,1.0,1.0,20,50,1.0267007178959795,-0.13662592666800227,13617999.999999985
82,5,25,18,45,70,14,2.0,0.5,1.5,1.2,10,45,1.2691430657888556,-0.12243224169829646,15790999.999999978
83,12,35,18,30,55,10,4.0,0.5,1.0,1.2,20,45,2.2545204137368717,-0.13373125012191067,28657999.99999997
84,12,20,10,40,60,14,4.5,1.0,1.0,1.0,20,45,1.6684425237012261,-0.09735157652318242,25141999.99999997
85,5,30,18,25,70,21,5.0,1.5,2.0,1.2,5,55,1.431435852888225,-0.11439196426766911,16523000.000000007
86,15,20,18,45,50,21,2.0,0.5,1.0,1.0,15,45,0.7538389540331827,-0.19114550431669847,10511000.0
87,8,40,10,25,60,21,5.0,1.0,2.0,1.0,20,55,1.2524173841586563,-0.14230846571486014,17368999.999999978
88,12,20,14,35,55,21,5.0,0.5,2.0,1.4,15,45,1.2088909456650707,-0.1281055900621116,15209999.999999985
89,5,35,18,25,50,21,5.0,0.5,1.0,0.8,15,55,0.5842068936592467,-0.18636041547847434,7132999.999999978
90,10,20,18,25,50,21,4.0,2.0,1.0,1.4,5,45,0.9388445990915172,-0.1997252570349224,11008000.000000022
91,15,30,14,45,50,10,4.0,1.0,1.5,0.8,10,45,0.9229094085937342,-0.17634131096638897,13393999.999999985
92,10,35,18,40,70,14,2.5,0.5,2.0,0.8,20,45,1.7484271362302493,-0.09972815947977173,24004000.000000007
93,10,20,18,25,55,10,3.0,1.0,1.0,1.2,5,55,1.6218955475662336,-0.16751068863891078,20846000.0
94,8,35,10,30,70,10,4.5,0.5,1.5,0.8,15,45,1.8928127171450542,-0.09239130434782625,27359000.000000045
95,12,40,18,30,60,10,5.0,0.5,1.0,1.2,15,45,2.4247838154670975,-0.09297793296656433,31745000.00000003
96,8,25,18,40,55,21,5.0,2.0,1.0,0.8,15,45,1.05834478523995,-0.11351947862660573,16221999.999999978
97,5,25,18,25,65,14,3.5,1.0,2.0,1.4,15,55,1.5094543608224127,-0.14406116951950648,16315000.0
98,8,40,18,35,70,10,4.0,1.5,1.5,1.0,15,55,1.4079760230655283,-0.1640751450342807,18715000.000000015
99,10,35,14,30,55,21,2.5,1.5,1.5,0.8,10,45,1.3512600738985394,-0.14767319636884843,18927999.999999985
100,8,20,14,40,55,21,3.5,2.0,1.5,1.0,10,55,0.9036542784238407,-0.10815626616596123,13330999.999999985
101,12,35,10,45,65,21,3.0,2.0,2.0,1.0,5,55,1.364637046483118,-0.1110282232997636,21349000.0
