Date,Time,Price,Action,Position Type,Trade Price,Total Money,Total Point
2023-01-03,10:55:00,1015.0,Open,LONG,1015.0,40000000.0,
2023-01-04,10:55:00,1047.4,Close,None,1047.4,43193000.0,3193000.0
2023-01-05,09:05:00,1047.0,Open,LONG,1047.0,43193000.0,
2023-01-05,11:00:00,1047.4,Close,None,1047.4,43186000.0,3186000.0
2023-01-05,13:10:00,1048.8,Open,LONG,1048.8,43186000.0,
2023-01-06,09:00:00,1051.4,Close,None,1051.4,43399000.0,3399000.0
2023-01-06,09:30:00,1053.7,Open,LONG,1053.7,43399000.0,
2023-01-06,13:20:00,1059.4,Close,None,1059.4,43922000.0,3922000.0
2023-01-06,14:15:00,1050.4,Open,SHORT,1050.4,43922000.0,
2023-01-09,09:00:00,1060.0,Close,None,1060.0,42915000.0,2915000.0
2023-01-09,09:30:00,1060.0,Open,LONG,1060.0,42915000.0,
2023-01-09,09:50:00,1056.0,Close,None,1056.0,42468000.0,2468000.0
2023-01-09,10:05:00,1059.3,Open,LONG,1059.3,42468000.0,
2023-01-09,13:00:00,1058.6,Close,None,1058.6,42351000.0,2351000.0
2023-01-09,13:40:00,1054.2,Open,SHORT,1054.2,42351000.0,
2023-01-10,09:05:00,1056.3,Close,None,1056.3,42094000.0,2094000.0
2023-01-10,10:50:00,1048.1,Open,SHORT,1048.1,42094000.0,
2023-01-10,13:05:00,1052.5,Close,None,1052.5,41607000.0,1607000.0
2023-01-10,13:45:00,1059.2,Open,LONG,1059.2,41607000.0,
2023-01-10,14:00:00,1054.7,Close,None,1054.7,41110000.0,1110000.0
2023-01-10,14:10:00,1059.0,Open,LONG,1059.0,41110000.0,
2023-01-10,14:20:00,1054.3,Close,None,1054.3,40593000.0,593000.0
2023-01-11,09:00:00,1062.6,Open,LONG,1062.6,40593000.0,
2023-01-11,13:20:00,1069.2,Close,None,1069.2,41206000.0,1206000.0
2023-01-12,09:40:00,1067.1,Open,LONG,1067.1,41206000.0,
2023-01-12,10:10:00,1064.6,Close,None,1064.6,40909000.0,909000.0
2023-01-12,10:20:00,1063.0,Open,SHORT,1063.0,40909000.0,
2023-01-12,13:50:00,1060.0,Close,None,1060.0,41162000.0,1162000.0
2023-01-13,09:05:00,1071.5,Open,LONG,1071.5,41162000.0,
2023-01-13,11:15:00,1069.8,Close,None,1069.8,40945000.0,945000.0
2023-01-13,14:15:00,1065.1,Open,SHORT,1065.1,40945000.0,
2023-01-16,09:00:00,1072.7,Close,None,1072.7,40138000.0,138000.0
2023-01-16,09:25:00,1072.3,Open,LONG,1072.3,40138000.0,
2023-01-16,09:50:00,1069.4,Close,None,1069.4,39801000.0,-199000.0
2023-01-16,10:20:00,1065.8,Open,SHORT,1065.8,39801000.0,
2023-01-16,11:00:00,1068.6,Close,None,1068.6,39474000.0,-526000.0
2023-01-16,13:55:00,1070.7,Open,LONG,1070.7,39474000.0,
2023-01-17,13:45:00,1092.0,Close,None,1092.0,41557000.0,1557000.0
2023-01-17,14:15:00,1098.9,Open,LONG,1098.9,41557000.0,
2023-01-18,13:00:00,1112.3,Close,None,1112.3,42850000.0,2850000.0
2023-01-18,13:45:00,1116.2,Open,LONG,1116.2,42850000.0,
2023-01-19,10:55:00,1119.4,Close,None,1119.4,43123000.0,3123000.0
2023-01-19,13:50:00,1119.9,Open,LONG,1119.9,43123000.0,
2023-01-19,14:25:00,1121.0,Close_Future_Expired,None,1121.0,43185999.99999999,109999.9999999909
2023-01-27,10:45:00,1141.3,Open,LONG,1141.3,43185999.99999999,
2023-01-27,13:45:00,1139.0,Close,None,1139.0,42908999.99999999,-167000.00000000902
2023-01-27,13:50:00,1137.1,Open,SHORT,1137.1,42908999.99999999,
2023-01-30,09:55:00,1127.3,Close,None,1127.3,43841999.99999999,765999.9999999909
2023-01-30,10:50:00,1121.8,Open,SHORT,1121.8,43841999.99999999,
2023-01-30,13:20:00,1125.8,Close,None,1125.8,43394999.99999999,318999.9999999909
