SampleIndex,EMA_Short,EMA_Long,RSI_Period,RSI_lower,RSI_upper,ATR_period,Max_Loss,Min_Profit,ATR_Mult,Volume_Threshold,Volume_window,RSI_exit_threshold,Sharpe,mdd,net_profit,score
271,10,25,18,25,70,14,2.5,1.0,1.0,1.2,20,45,2.782016973052014,-0.0772032046613255,29702000.000000015,2.7434153707213516
1634,8,40,14,35,70,21,5.0,1.0,1.0,0.8,10,45,2.7172784956377964,-0.0754863635324509,41320000.000000015,2.679535313871571
974,5,20,18,35,70,14,4.5,1.0,1.0,0.8,15,50,2.6743891867374483,-0.0638851712240462,36240000.0,2.642446601125425
2500,15,25,18,25,70,14,1.5,1.0,1.0,0.8,20,50,2.594883786249306,-0.0761353018127452,29810000.0,2.5568161353429333
2358,10,30,18,25,70,21,2.0,0.5,1.0,0.8,15,55,2.573981968209133,-0.0713052291752693,30525000.0,2.5383293536214984
2,10,30,18,30,60,14,4.5,0.5,1.0,1.0,15,55,2.5496257405771887,-0.0703486365205385,35083999.999999985,2.5144514223169194
2128,15,40,18,25,70,21,3.5,0.5,1.0,0.8,5,45,2.4827977380811475,-0.0717307227459511,30675000.0,2.446932376708172
1363,8,40,10,25,70,10,4.5,1.5,1.0,1.2,20,55,2.484031689551401,-0.0877662725398668,31037000.000000015,2.440148553281468
1170,8,35,18,25,70,14,1.5,1.0,1.0,0.8,20,50,2.47682592709036,-0.0872520381083299,28660000.0,2.433199908036195
1370,12,40,18,25,60,21,3.0,0.5,1.0,1.0,20,55,2.4743116642653744,-0.0936877215800625,31283000.00000003,2.427467803475343
176,10,35,18,30,60,14,5.0,1.0,1.0,1.0,20,50,2.4602382687934288,-0.0725918066063849,34153999.999999985,2.423942365490236
2225,5,25,18,25,55,14,2.5,0.5,1.0,1.2,20,55,2.448287809449748,-0.0784361144699717,31565000.0,2.409069752214762
2474,10,20,18,25,70,14,4.0,0.5,1.5,0.8,10,45,2.4329892677396012,-0.0699048066328281,30122000.0,2.398036864423187
843,8,30,14,35,65,21,5.0,0.5,1.0,1.0,5,55,2.4220332631331307,-0.0556927049124634,36849999.999999985,2.394186910676899
95,12,40,18,30,60,10,5.0,0.5,1.0,1.2,15,45,2.4247838154670975,-0.0929779329665643,31745000.00000003,2.3782948489838156
1176,8,20,18,25,70,14,3.5,2.0,1.0,0.8,20,55,2.385088750294685,-0.0797870373793766,29873000.0,2.345195231604997
2465,12,25,18,30,70,14,2.5,0.5,1.0,0.8,10,50,2.3625923203424737,-0.0706122338700961,28850000.0,2.3272862034074255
1282,15,25,14,25,70,10,3.5,0.5,1.0,0.8,20,45,2.3589887108713974,-0.0649767104370011,29625000.000000015,2.3265003556528967
1796,10,20,18,25,70,21,5.0,1.5,2.0,0.8,5,45,2.3465921074484215,-0.0853975377166307,29433000.0,2.303893338590106
549,12,30,14,30,60,14,5.0,1.0,1.0,1.2,5,45,2.3212654524930447,-0.0716265471941679,30638999.999999985,2.285452178895961
2385,12,30,14,25,65,21,4.5,0.5,1.0,1.2,20,50,2.326419598534299,-0.0830574781823655,25593999.99999997,2.284890859443116
1159,8,25,18,25,70,21,3.0,0.5,1.0,1.2,5,50,2.313441346102898,-0.0601912254396043,26303000.0,2.2833457333830958
580,8,30,14,25,70,21,4.5,2.0,1.0,0.8,5,55,2.3166169018402125,-0.0670039865072063,32437000.00000003,2.2831149085866094
402,12,25,14,35,70,14,2.5,1.5,1.0,0.8,15,55,2.3154014236343676,-0.0746096245056602,32215000.00000003,2.2780966113815375
449,10,40,18,30,70,10,4.5,0.5,1.0,1.0,10,50,2.3181116711506715,-0.0848571294953935,29234000.000000015,2.2756831064029748
