Minute,tickersymbol,High,Low,Close,Volume,Open
2022-12-12 09:00,VN30F2212,1074.30,1035.20,1035.20,3634,
2022-12-12 09:00,VN30F2301,1064.10,1033.00,1032.00,65,
2022-12-12 09:00,VN30F2303,1065.00,1025.00,1022.00,11,
2022-12-12 09:01,VN30F2212,1074.30,1035.20,1035.20,4954,1035.20
2022-12-12 09:01,VN30F2301,1064.10,1033.00,1032.00,80,1032.00
2022-12-12 09:02,VN30F2212,1074.30,1035.20,1035.20,5851,1035.20
2022-12-12 09:02,VN30F2301,1064.10,1033.00,1032.00,86,1032.00
2022-12-12 09:02,VN30F2303,1065.00,1025.00,1022.00,14,1022.00
2022-12-12 09:03,VN30F2212,1074.30,1035.20,1035.20,9086,1035.20
2022-12-12 09:03,VN30F2301,1064.10,1033.00,1032.00,113,1032.00
2022-12-12 09:03,VN30F2303,1065.00,1025.00,1022.00,16,1022.00
2022-12-12 09:03,VN30F2306,1045.90,1020.00,1020.70,1,
2022-12-12 09:04,VN30F2212,1074.30,1035.20,1035.20,10656,1035.20
2022-12-12 09:04,VN30F2301,1064.10,1033.00,1032.00,118,1032.00
2022-12-12 09:05,VN30F2212,1074.30,1035.20,1035.20,12482,1035.20
2022-12-12 09:05,VN30F2301,1064.10,1033.00,1032.00,157,1032.00
2022-12-12 09:05,VN30F2303,1065.00,1025.00,1022.00,18,1022.00
2022-12-12 09:06,VN30F2212,1074.30,1035.20,1035.20,13584,1035.20
2022-12-12 09:06,VN30F2301,1064.10,1033.00,1032.00,160,1032.00
2022-12-12 09:07,VN30F2212,1074.30,1035.20,1035.20,14319,1035.20
2022-12-12 09:07,VN30F2301,1064.10,1033.00,1032.00,168,1032.00
2022-12-12 09:08,VN30F2212,1074.30,1035.20,1035.20,15056,1035.20
2022-12-12 09:08,VN30F2301,1064.10,1033.00,1032.00,170,1032.00
2022-12-12 09:09,VN30F2212,1074.30,1035.20,1035.20,15745,1035.20
2022-12-12 09:09,VN30F2301,1064.10,1033.00,1032.00,175,1032.00
2022-12-12 09:10,VN30F2212,1074.30,1035.20,1035.20,16412,1035.20
2022-12-12 09:10,VN30F2301,1064.10,1033.00,1032.00,185,1032.00
2022-12-12 09:11,VN30F2212,1074.30,1035.20,1035.20,17495,1035.20
2022-12-12 09:11,VN30F2301,1064.10,1033.00,1032.00,189,1032.00
2022-12-12 09:12,VN30F2212,1074.30,1035.20,1035.20,19118,1035.20
2022-12-12 09:12,VN30F2301,1064.10,1033.00,1032.00,195,1032.00
2022-12-12 09:13,VN30F2212,1074.30,1035.20,1035.20,20501,1035.20
2022-12-12 09:13,VN30F2301,1064.10,1033.00,1032.00,213,1032.00
2022-12-12 09:14,VN30F2212,1074.30,1035.20,1035.20,21780,1035.20
2022-12-12 09:14,VN30F2301,1064.10,1033.00,1032.00,246,1032.00
2022-12-12 09:14,VN30F2306,1045.90,1020.00,1020.70,2,1020.70
2022-12-12 09:15,VN30F2212,1074.30,1035.20,1035.20,23839,1035.20
2022-12-12 09:15,VN30F2301,1064.10,1033.00,1032.00,252,1032.00
2022-12-12 09:15,VN30F2303,1065.00,1025.00,1022.00,19,1022.00
2022-12-12 09:15,VN30F2306,1045.90,1020.00,1020.70,3,1020.70
2022-12-12 09:16,VN30F2212,1074.30,1035.20,1035.20,24998,1035.20
2022-12-12 09:16,VN30F2301,1064.10,1033.00,1032.00,309,1032.00
2022-12-12 09:16,VN30F2303,1065.00,1025.00,1022.00,25,1022.00
2022-12-12 09:16,VN30F2306,1045.90,1020.00,1020.70,4,1020.70
2022-12-12 09:17,VN30F2212,1074.30,1035.20,1035.20,29730,1035.20
2022-12-12 09:17,VN30F2301,1064.10,1033.00,1032.00,367,1032.00
2022-12-12 09:17,VN30F2303,1065.00,1025.00,1022.00,27,1022.00
2022-12-12 09:17,VN30F2306,1045.90,1020.00,1020.70,7,1020.70
2022-12-12 09:18,VN30F2212,1074.30,1035.20,1035.20,33125,1035.20
2022-12-12 09:18,VN30F2301,1064.10,1033.00,1032.00,451,1032.00
2022-12-12 09:18,VN30F2303,1065.00,1025.00,1022.00,28,1022.00
2022-12-12 09:19,VN30F2212,1074.30,1035.20,1035.20,37520,1035.20
2022-12-12 09:19,VN30F2301,1064.10,1033.00,1032.00,486,1032.00
2022-12-12 09:19,VN30F2303,1065.00,1025.00,1022.00,32,1022.00
2022-12-12 09:19,VN30F2306,1045.90,1020.00,1020.70,12,1020.70
2022-12-12 09:20,VN30F2212,1074.30,1035.20,1035.20,40573,1035.20
2022-12-12 09:20,VN30F2301,1064.10,1033.00,1032.00,540,1032.00
2022-12-12 09:20,VN30F2303,1065.00,1025.00,1022.00,34,1022.00
2022-12-12 09:21,VN30F2212,1074.30,1035.20,1035.20,43741,1035.20
2022-12-12 09:21,VN30F2301,1064.10,1033.00,1032.00,627,1032.00
2022-12-12 09:21,VN30F2303,1065.00,1025.00,1022.00,36,1022.00
2022-12-12 09:22,VN30F2212,1074.30,1035.20,1035.20,45212,1035.20
2022-12-12 09:22,VN30F2301,1064.10,1033.00,1032.00,639,1032.00
2022-12-12 09:22,VN30F2303,1065.00,1025.00,1022.00,38,1022.00
2022-12-12 09:23,VN30F2212,1074.30,1035.20,1035.20,47923,1035.20
2022-12-12 09:23,VN30F2301,1064.10,1033.00,1032.00,697,1032.00
2022-12-12 09:24,VN30F2212,1074.30,1035.20,1035.20,49863,1035.20
2022-12-12 09:24,VN30F2301,1064.10,1033.00,1032.00,708,1032.00
