,Date,Time,tickersymbol,Open,Close,High,Low,Volume
1,2025-01-02,09:10:00,VN30F2501,1347.5,1345.5,1347.5,1345.5,7
2,2025-01-02,09:15:00,VN30F2501,1345.8,1345.8,1345.8,1345.8,2
3,2025-01-02,09:20:00,VN30F2501,1346.0,1346.0,1346.0,1346.0,4
4,2025-01-02,09:30:00,VN30F2501,1346.1,1347.8,1347.8,1346.1,37
5,2025-01-02,09:35:00,VN30F2501,1348.0,1349.2,1349.2,1347.9,112
6,2025-01-02,09:40:00,VN30F2501,1349.3,1350.7,1351.2,1349.3,62
7,2025-01-02,09:45:00,VN30F2501,1351.0,1350.4,1351.0,1350.1,179
8,2025-01-02,09:50:00,VN30F2501,1350.3,1350.0,1350.4,1349.3,92
9,2025-01-02,09:55:00,VN30F2501,1349.9,1348.7,1349.9,1348.7,95
10,2025-01-02,10:00:00,VN30F2501,1348.6,1348.1,1348.6,1347.6,116
11,2025-01-02,10:05:00,VN30F2501,1348.2,1347.2,1348.3,1347.2,141
12,2025-01-02,10:10:00,VN30F2501,1346.7,1346.9,1347.0,1346.2,129
13,2025-01-02,10:15:00,VN30F2501,1346.4,1346.1,1346.7,1345.9,76
14,2025-01-02,10:20:00,VN30F2501,1346.1,1345.5,1346.2,1345.2,80
15,2025-01-02,10:25:00,VN30F2501,1345.8,1345.2,1345.9,1345.1,55
16,2025-01-02,10:30:00,VN30F2501,1345.2,1338.2,1345.2,1337.8,102
17,2025-01-02,10:35:00,VN30F2501,1338.3,1338.6,1338.7,1336.7,148
18,2025-01-02,10:40:00,VN30F2501,1338.8,1339.2,1339.3,1338.6,177
19,2025-01-02,10:45:00,VN30F2501,1339.1,1338.7,1339.1,1338.4,106
20,2025-01-02,10:50:00,VN30F2501,1338.4,1338.5,1339.0,1338.1,64
21,2025-01-02,10:55:00,VN30F2501,1338.4,1338.0,1338.7,1338.0,177
22,2025-01-02,11:00:00,VN30F2501,1337.9,1339.0,1339.0,1337.1,97
23,2025-01-02,11:05:00,VN30F2501,1339.1,1338.9,1339.3,1338.8,105
24,2025-01-02,11:10:00,VN30F2501,1338.6,1339.0,1339.1,1338.5,22
25,2025-01-02,11:15:00,VN30F2501,1338.8,1337.8,1338.9,1337.8,71
26,2025-01-02,11:20:00,VN30F2501,1338.1,1338.7,1338.7,1337.5,130
27,2025-01-02,11:25:00,VN30F2501,1338.2,1338.6,1338.9,1338.2,81
28,2025-01-02,13:00:00,VN30F2501,1338.6,1338.1,1338.8,1338.1,95
29,2025-01-02,13:05:00,VN30F2501,1338.3,1339.3,1339.3,1338.0,97
30,2025-01-02,13:10:00,VN30F2501,1339.3,1339.7,1340.2,1339.3,104
31,2025-01-02,13:15:00,VN30F2501,1339.9,1339.8,1340.5,1339.7,84
32,2025-01-02,13:20:00,VN30F2501,1340.4,1340.5,1340.9,1340.4,79
33,2025-01-02,13:25:00,VN30F2501,1340.7,1341.6,1341.6,1340.1,71
34,2025-01-02,13:30:00,VN30F2501,1342.2,1342.4,1343.2,1342.2,60
35,2025-01-02,13:35:00,VN30F2501,1342.6,1341.2,1342.9,1340.8,160
36,2025-01-02,13:40:00,VN30F2501,1341.4,1342.0,1342.0,1340.8,111
37,2025-01-02,13:45:00,VN30F2501,1342.1,1341.5,1342.5,1341.1,176
38,2025-01-02,13:50:00,VN30F2501,1341.8,1342.5,1342.7,1341.7,145
39,2025-01-02,13:55:00,VN30F2501,1342.9,1341.5,1343.0,1341.3,120
40,2025-01-02,14:00:00,VN30F2501,1341.4,1342.3,1343.0,1341.1,214
41,2025-01-02,14:05:00,VN30F2501,1342.6,1344.0,1344.0,1342.3,120
42,2025-01-02,14:10:00,VN30F2501,1344.5,1343.2,1344.5,1342.6,109
43,2025-01-02,14:15:00,VN30F2501,1343.5,1343.9,1344.4,1343.0,107
44,2025-01-02,14:20:00,VN30F2501,1343.8,1343.5,1344.4,1343.4,59
45,2025-01-02,14:25:00,VN30F2501,1343.4,1343.4,1343.9,1343.3,101
46,2025-01-03,09:00:00,VN30F2501,1345.6,1343.8,1345.6,1343.8,303
47,2025-01-03,09:05:00,VN30F2501,1343.8,1343.7,1344.0,1343.3,327
48,2025-01-03,09:10:00,VN30F2501,1343.8,1343.3,1343.9,1343.1,342
49,2025-01-03,09:15:00,VN30F2501,1343.1,1339.1,1343.2,1338.3,308
50,2025-01-03,09:20:00,VN30F2501,1339.1,1339.8,1340.2,1338.6,219
51,2025-01-03,09:25:00,VN30F2501,1339.9,1340.0,1340.6,1339.7,203
52,2025-01-03,09:30:00,VN30F2501,1340.0,1339.5,1340.0,1339.4,109
53,2025-01-03,09:35:00,VN30F2501,1339.5,1340.2,1340.6,1339.5,111
54,2025-01-03,09:40:00,VN30F2501,1340.0,1340.7,1340.9,1340.0,194
55,2025-01-03,09:45:00,VN30F2501,1340.3,1340.4,1340.6,1340.2,130
56,2025-01-03,09:50:00,VN30F2501,1340.5,1340.0,1340.5,1339.8,213
57,2025-01-03,09:55:00,VN30F2501,1340.2,1340.2,1340.4,1340.0,72
58,2025-01-03,10:00:00,VN30F2501,1340.2,1340.0,1340.2,1339.8,140
59,2025-01-03,10:05:00,VN30F2501,1340.1,1339.4,1340.1,1339.0,126
60,2025-01-03,10:10:00,VN30F2501,1339.5,1339.5,1339.9,1339.4,102
61,2025-01-03,10:15:00,VN30F2501,1339.3,1339.0,1339.5,1338.4,219
62,2025-01-03,10:20:00,VN30F2501,1339.2,1338.5,1339.2,1338.5,164
63,2025-01-03,10:25:00,VN30F2501,1338.3,1338.2,1338.5,1337.4,218
64,2025-01-03,10:30:00,VN30F2501,1338.3,1338.7,1338.8,1338.1,136
65,2025-01-03,10:35:00,VN30F2501,1338.7,1339.8,1339.8,1338.6,191
66,2025-01-03,10:40:00,VN30F2501,1339.9,1340.3,1340.4,1339.6,334
67,2025-01-03,10:45:00,VN30F2501,1340.4,1339.3,1340.4,1339.2,143
68,2025-01-03,10:50:00,VN30F2501,1339.4,1338.5,1339.4,1338.5,170
69,2025-01-03,10:55:00,VN30F2501,1338.7,1337.4,1338.9,1337.3,163
70,2025-01-03,11:00:00,VN30F2501,1337.1,1336.1,1337.1,1334.7,230
71,2025-01-03,11:05:00,VN30F2501,1336.1,1333.6,1336.1,1333.4,308
72,2025-01-03,11:10:00,VN30F2501,1333.5,1332.9,1333.6,1331.2,342
73,2025-01-03,11:15:00,VN30F2501,1332.8,1332.4,1332.8,1330.8,220
74,2025-01-03,11:20:00,VN30F2501,1332.3,1333.0,1333.3,1332.2,427
75,2025-01-03,11:25:00,VN30F2501,1333.0,1331.7,1333.3,1331.6,319
76,2025-01-03,13:00:00,VN30F2501,1331.8,1331.9,1332.2,1331.3,141
77,2025-01-03,13:05:00,VN30F2501,1331.8,1332.6,1332.8,1331.6,138
78,2025-01-03,13:10:00,VN30F2501,1332.5,1333.1,1333.2,1332.3,147
79,2025-01-03,13:15:00,VN30F2501,1333.2,1332.0,1333.3,1331.8,202
80,2025-01-03,13:20:00,VN30F2501,1332.0,1332.0,1332.6,1331.8,89
81,2025-01-03,13:25:00,VN30F2501,1332.1,1332.0,1332.3,1331.8,175
82,2025-01-03,13:30:00,VN30F2501,1332.1,1331.9,1332.6,1331.8,221
83,2025-01-03,13:35:00,VN30F2501,1331.8,1328.0,1332.0,1326.0,285
84,2025-01-03,13:40:00,VN30F2501,1328.2,1329.7,1329.8,1328.0,169
85,2025-01-03,13:45:00,VN30F2501,1329.6,1329.7,1330.1,1329.0,197
86,2025-01-03,13:50:00,VN30F2501,1329.6,1328.7,1330.2,1328.5,204
87,2025-01-03,13:55:00,VN30F2501,1328.5,1330.6,1331.1,1328.4,213
88,2025-01-03,14:00:00,VN30F2501,1330.7,1330.7,1331.3,1330.4,186
89,2025-01-03,14:05:00,VN30F2501,1330.9,1330.4,1331.5,1329.9,194
90,2025-01-03,14:10:00,VN30F2501,1330.3,1330.6,1330.9,1329.7,246
91,2025-01-03,14:15:00,VN30F2501,1330.8,1328.8,1331.6,1327.5,218
92,2025-01-03,14:20:00,VN30F2501,1329.3,1326.6,1329.3,1325.4,174
93,2025-01-03,14:25:00,VN30F2501,1326.0,1326.1,1327.2,1326.0,199
94,2025-01-06,09:00:00,VN30F2501,1324.2,1324.7,1325.3,1323.3,171
95,2025-01-06,09:05:00,VN30F2501,1324.7,1324.7,1325.3,1324.5,106
96,2025-01-06,09:10:00,VN30F2501,1324.5,1324.5,1324.8,1324.0,180
97,2025-01-06,09:15:00,VN30F2501,1324.5,1324.7,1324.7,1323.7,180
98,2025-01-06,09:20:00,VN30F2501,1324.5,1323.9,1324.9,1323.6,141
99,2025-01-06,09:25:00,VN30F2501,1324.0,1324.5,1324.6,1323.9,142
100,2025-01-06,09:30:00,VN30F2501,1324.6,1324.9,1325.2,1324.5,193
101,2025-01-06,09:35:00,VN30F2501,1325.2,1325.3,1325.8,1325.1,138
102,2025-01-06,09:40:00,VN30F2501,1325.4,1326.7,1326.8,1325.4,252
103,2025-01-06,09:45:00,VN30F2501,1326.6,1329.2,1329.9,1326.6,298
104,2025-01-06,09:50:00,VN30F2501,1329.0,1328.4,1329.5,1328.2,161
105,2025-01-06,09:55:00,VN30F2501,1328.5,1328.7,1329.0,1328.3,258
106,2025-01-06,10:00:00,VN30F2501,1329.0,1328.4,1329.5,1328.4,134
107,2025-01-06,10:05:00,VN30F2501,1328.5,1327.7,1328.8,1327.7,165
108,2025-01-06,10:10:00,VN30F2501,1327.9,1328.2,1328.3,1327.7,110
109,2025-01-06,10:15:00,VN30F2501,1328.3,1329.6,1329.6,1328.3,202
110,2025-01-06,10:20:00,VN30F2501,1329.6,1328.8,1330.0,1328.8,232
111,2025-01-06,10:25:00,VN30F2501,1328.9,1330.5,1330.7,1328.7,156
112,2025-01-06,10:30:00,VN30F2501,1330.6,1330.1,1331.0,1330.1,97
113,2025-01-06,10:35:00,VN30F2501,1330.0,1329.3,1330.1,1329.1,146
114,2025-01-06,10:40:00,VN30F2501,1329.3,1328.4,1329.4,1328.3,144
115,2025-01-06,10:45:00,VN30F2501,1328.3,1328.4,1328.4,1327.7,238
116,2025-01-06,10:50:00,VN30F2501,1328.5,1328.5,1328.5,1328.2,164
117,2025-01-06,10:55:00,VN30F2501,1328.3,1327.7,1328.3,1327.5,139
118,2025-01-06,11:00:00,VN30F2501,1327.7,1327.6,1327.9,1327.5,98
119,2025-01-06,11:05:00,VN30F2501,1327.5,1325.9,1327.6,1325.0,192
120,2025-01-06,11:10:00,VN30F2501,1325.7,1324.6,1326.0,1324.6,124
121,2025-01-06,11:15:00,VN30F2501,1324.2,1324.8,1325.0,1324.2,176
122,2025-01-06,11:20:00,VN30F2501,1324.7,1325.5,1325.8,1324.5,213
123,2025-01-06,11:25:00,VN30F2501,1325.7,1325.7,1326.0,1325.3,157
124,2025-01-06,13:00:00,VN30F2501,1326.0,1326.0,1326.2,1325.5,119
