Date,Time,Price,Action,Position Type,Trade Price,Total Money,Total Point
2023-01-03,09:13:00,1003.1,Open,LONG,1003.1,40000000.0,
2023-01-03,09:15:00,1003.9,Close,None,1003.9,40033000.0,33000.00000000001
2023-01-03,09:21:00,1004.6,Open,LONG,1004.6,40033000.0,
2023-01-03,09:28:00,1005.3,Close,None,1005.3,40056000.0,56000.00000000001
2023-01-03,09:31:00,1005.5,Open,LONG,1005.5,40056000.0,
2023-01-03,09:35:00,1006.1,Close,None,1006.1,40069000.0,69000.0
2023-01-03,09:36:00,1005.9,Open,LONG,1005.9,40069000.0,
2023-01-03,09:38:00,1007.0,Close,None,1007.0,40132000.0,132000.0
2023-01-03,09:48:00,1009.4,Open,LONG,1009.4,40132000.0,
2023-01-03,09:50:00,1011.4,Close,None,1011.4,40285000.0,285000.0
2023-01-03,10:02:00,1012.4,Open,LONG,1012.4,40285000.0,
2023-01-03,10:24:00,1015.0,Close,None,1015.0,40498000.0,498000.0
2023-01-03,11:09:00,1016.7,Open,LONG,1016.7,40498000.0,
2023-01-03,11:10:00,1017.4,Close,None,1017.4,40521000.0,521000.0
2023-01-03,11:11:00,1016.6,Open,LONG,1016.6,40521000.0,
2023-01-03,13:10:00,1017.2,Close,None,1017.2,40534000.0,534000.0
2023-01-03,13:25:00,1020.6,Open,LONG,1020.6,40534000.0,
2023-01-03,13:29:00,1021.5,Close,None,1021.5,40577000.0,577000.0
2023-01-03,13:32:00,1022.3,Open,LONG,1022.3,40577000.0,
2023-01-03,13:33:00,1023.0,Close,None,1023.0,40600000.0,600000.0
2023-01-03,13:34:00,1022.7,Open,LONG,1022.7,40600000.0,
2023-01-03,13:35:00,1024.5,Close,None,1024.5,40733000.0,733000.0
2023-01-03,13:47:00,1030.2,Open,LONG,1030.2,40733000.0,
2023-01-03,14:26:00,1036.1,Close,None,1036.1,41276000.0,1276000.0
2023-01-04,09:12:00,1044.7,Open,LONG,1044.7,41276000.0,
2023-01-04,09:13:00,1045.6,Close,None,1045.6,41319000.0,1319000.0
2023-01-04,09:14:00,1044.8,Open,LONG,1044.8,41319000.0,
2023-01-04,09:20:00,1046.8,Close,None,1046.8,41472000.0,1472000.0
2023-01-04,09:21:00,1046.3,Open,LONG,1046.3,41472000.0,
2023-01-04,09:27:00,1048.4,Close,None,1048.4,41635000.0,1635000.0
2023-01-04,09:30:00,1047.8,Open,LONG,1047.8,41635000.0,
2023-01-04,09:31:00,1049.5,Close,None,1049.5,41758000.0,1758000.0
2023-01-04,09:33:00,1048.4,Open,LONG,1048.4,41758000.0,
