Date,Time,Price,Action,Position Type,Trade Price,Total Money,Total Point
2024-01-02,10:35:00,1137.6,Open,SHORT,1137.6,40000000.0,
2024-01-02,13:35:00,1133.7,Close,None,1133.7,40343000.0,343000.0
2024-01-03,09:00:00,1128.3,Open,SHORT,1128.3,40343000.0,
2024-01-03,10:25:00,1129.8,Close,None,1129.8,40146000.0,146000.0
2024-01-03,11:00:00,1133.7,Open,LONG,1133.7,40146000.0,
2024-01-04,13:00:00,1159.7,Close,None,1159.7,42699000.0,2699000.0
2024-01-04,13:05:00,1160.5,Open,LONG,1160.5,42699000.0,
2024-01-04,14:05:00,1165.2,Close,None,1165.2,43122000.0,3122000.0
2024-01-05,10:45:00,1154.4,Open,SHORT,1154.4,43122000.0,
2024-01-05,10:50:00,1156.6,Close,None,1156.6,42855000.0,2855000.0
2024-01-05,14:25:00,1163.4,Open,LONG,1163.4,42855000.0,
2024-01-08,10:30:00,1169.7,Close,None,1169.7,43438000.0,3438000.0
2024-01-08,13:25:00,1164.0,Open,SHORT,1164.0,43438000.0,
2024-01-08,13:55:00,1166.7,Close,None,1166.7,43121000.0,3121000.0
2024-01-10,10:35:00,1167.0,Open,LONG,1167.0,43121000.0,
2024-01-10,13:00:00,1164.1,Close,None,1164.1,42784000.0,2784000.0
2024-01-10,13:20:00,1161.8,Open,SHORT,1161.8,42784000.0,
2024-01-10,13:50:00,1163.7,Close,None,1163.7,42547000.0,2547000.0
2024-01-11,09:45:00,1172.1,Open,LONG,1172.1,42547000.0,
2024-01-11,11:25:00,1170.3,Close,None,1170.3,42320000.0,2320000.0
2024-01-11,14:10:00,1162.9,Open,SHORT,1162.9,42320000.0,
2024-01-11,14:20:00,1166.0,Close,None,1166.0,41963000.0,1963000.0
2024-01-12,09:10:00,1160.1,Open,SHORT,1160.1,41963000.0,
2024-01-12,10:30:00,1159.6,Close,None,1159.6,41966000.0,1966000.0
2024-01-15,09:00:00,1173.4,Open,LONG,1173.4,41966000.0,
2024-01-15,09:25:00,1171.9,Close,None,1171.9,41769000.0,1769000.0
2024-01-15,14:25:00,1163.7,Open,SHORT,1163.7,41769000.0,
2024-01-16,10:50:00,1161.6,Close,None,1161.6,41932000.0,1932000.0
2024-01-16,14:15:00,1167.3,Open,LONG,1167.3,41932000.0,
2024-01-17,13:00:00,1174.6,Close,None,1174.6,42615000.0,2615000.0
2024-01-18,13:25:00,1171.7,Open,LONG,1171.7,42615000.0,
2024-01-18,14:30:00,1172.8,Close_Future_Expired,None,1172.8,42677999.99999999,109999.9999999909
2024-01-22,09:00:00,1194.9,Open,LONG,1194.9,42677999.99999999,
2024-01-22,09:20:00,1193.1,Close,None,1193.1,42450999.99999999,-117000.0000000091
2024-01-22,14:25:00,1196.0,Open,LONG,1196.0,42450999.99999999,
2024-01-23,09:00:00,1193.2,Close,None,1193.2,42123999.99999999,-444000.000000009
2024-01-23,11:25:00,1185.6,Open,SHORT,1185.6,42123999.99999999,
2024-01-24,09:20:00,1185.6,Close,None,1185.6,42076999.99999999,-491000.000000009
2024-01-24,13:00:00,1189.5,Open,LONG,1189.5,42076999.99999999,
2024-01-24,13:15:00,1187.8,Close,None,1187.8,41859999.99999999,-708000.0000000091
2024-01-24,14:10:00,1180.9,Open,SHORT,1180.9,41859999.99999999,
2024-01-25,10:35:00,1180.9,Close,None,1180.9,41812999.99999999,-755000.0000000091
2024-01-26,09:30:00,1185.2,Open,LONG,1185.2,41812999.99999999,
2024-01-26,11:15:00,1185.1,Close,None,1185.1,41755999.99999999,-812000.0000000091
2024-01-29,13:35:00,1183.8,Open,SHORT,1183.8,41755999.99999999,
