Date,Time,Price,Action,Position Type,Trade Price,Total Money,Total Point
2023-01-03,09:50:00,1012.1,Open,LONG,1012.1,40000000.0,
2023-01-04,10:55:00,1047.4,Close,None,1047.4,43483000.0,3483000.0
2023-01-05,09:05:00,1047.0,Open,LONG,1047.0,43483000.0,
2023-01-05,10:45:00,1048.0,Close,None,1048.0,43536000.0,3536000.0
2023-01-05,11:10:00,1047.2,Open,SHORT,1047.2,43536000.0,
2023-01-05,13:05:00,1047.9,Close,None,1047.9,43419000.0,3419000.0
2023-01-05,13:50:00,1055.0,Open,LONG,1055.0,43419000.0,
2023-01-06,09:00:00,1051.4,Close,None,1051.4,43012000.0,3012000.0
2023-01-06,09:30:00,1053.7,Open,LONG,1053.7,43012000.0,
2023-01-06,13:15:00,1060.8,Close,None,1060.8,43675000.0,3675000.0
2023-01-06,13:45:00,1056.5,Open,SHORT,1056.5,43675000.0,
2023-01-09,09:00:00,1060.0,Close,None,1060.0,43278000.0,3278000.0
2023-01-09,09:20:00,1058.5,Open,LONG,1058.5,43278000.0,
2023-01-09,09:45:00,1057.6,Close,None,1057.6,43141000.0,3141000.0
2023-01-09,10:30:00,1062.7,Open,LONG,1062.7,43141000.0,
2023-01-09,10:40:00,1059.7,Close,None,1059.7,42794000.0,2794000.0
2023-01-09,13:05:00,1057.0,Open,SHORT,1057.0,42794000.0,
2023-01-10,09:00:00,1055.0,Close,None,1055.0,42947000.0,2947000.0
2023-01-10,10:05:00,1053.0,Open,SHORT,1053.0,42947000.0,
2023-01-10,13:05:00,1052.5,Close,None,1052.5,42950000.0,2950000.0
2023-01-10,13:45:00,1059.2,Open,LONG,1059.2,42950000.0,
2023-01-10,14:00:00,1054.7,Close,None,1054.7,42453000.0,2453000.0
2023-01-10,14:15:00,1057.2,Open,LONG,1057.2,42453000.0,
2023-01-10,14:20:00,1054.3,Close,None,1054.3,42116000.0,2116000.0
2023-01-11,09:00:00,1062.6,Open,LONG,1062.6,42116000.0,
2023-01-11,13:25:00,1068.1,Close,None,1068.1,42619000.0,2619000.0
2023-01-11,13:45:00,1065.8,Open,SHORT,1065.8,42619000.0,
2023-01-12,09:00:00,1065.9,Close,None,1065.9,42562000.0,2562000.0
2023-01-12,09:40:00,1067.1,Open,LONG,1067.1,42562000.0,
2023-01-12,10:05:00,1066.3,Close,None,1066.3,42435000.0,2435000.0
2023-01-12,10:15:00,1064.7,Open,SHORT,1064.7,42435000.0,
2023-01-12,13:50:00,1060.0,Close,None,1060.0,42858000.0,2858000.0
2023-01-13,09:05:00,1071.5,Open,LONG,1071.5,42858000.0,
2023-01-13,10:45:00,1071.0,Close,None,1071.0,42761000.0,2761000.0
2023-01-13,11:20:00,1070.4,Open,SHORT,1070.4,42761000.0,
2023-01-13,13:35:00,1070.6,Close,None,1070.6,42694000.0,2694000.0
2023-01-13,14:05:00,1066.6,Open,SHORT,1066.6,42694000.0,
2023-01-16,09:00:00,1072.7,Close,None,1072.7,42037000.0,2037000.0
2023-01-16,09:25:00,1072.3,Open,LONG,1072.3,42037000.0,
2023-01-16,09:50:00,1069.4,Close,None,1069.4,41700000.0,1700000.0
2023-01-16,10:20:00,1065.8,Open,SHORT,1065.8,41700000.0,
2023-01-16,10:55:00,1068.2,Close,None,1068.2,41413000.0,1413000.0
2023-01-16,13:55:00,1070.7,Open,LONG,1070.7,41413000.0,
2023-01-17,13:50:00,1089.0,Close,None,1089.0,43196000.0,3196000.0
2023-01-17,14:15:00,1098.9,Open,LONG,1098.9,43196000.0,
2023-01-18,13:05:00,1111.1,Close,None,1111.1,44369000.0,4369000.0
2023-01-18,13:55:00,1116.5,Open,LONG,1116.5,44369000.0,
2023-01-19,09:00:00,1113.5,Close,None,1113.5,44022000.0,4022000.0
2023-01-19,10:05:00,1122.1,Open,LONG,1122.1,44022000.0,
2023-01-19,10:55:00,1119.4,Close,None,1119.4,43705000.0,3705000.0
2023-01-19,13:45:00,1117.3,Open,SHORT,1117.3,43705000.0,
2023-01-19,13:50:00,1119.9,Close,None,1119.9,43398000.0,3398000.0
2023-01-19,13:50:00,1119.9,Open,LONG,1119.9,43398000.0,
2023-01-19,14:05:00,1118.7,Close,None,1118.7,43231000.0,3231000.0
2023-01-19,14:25:00,1121.0,Open,LONG,1121.0,43231000.0,
2023-01-27,09:00:00,1139.4,Close_Future_Expired,None,1139.4,45024000.00000001,1840000.000000009
2023-01-27,10:10:00,1138.9,Open,SHORT,1138.9,45024000.00000001,
2023-01-27,10:40:00,1140.6,Close,None,1140.6,44807000.00000001,1623000.000000009
2023-01-27,11:10:00,1141.8,Open,LONG,1141.8,44807000.00000001,
2023-01-27,13:00:00,1140.7,Close,None,1140.7,44650000.00000001,1466000.000000009
2023-01-27,13:45:00,1139.0,Open,SHORT,1139.0,44650000.00000001,
2023-01-30,13:05:00,1124.2,Close,None,1124.2,46083000.00000001,2899000.0000000093
2023-01-30,13:35:00,1122.5,Open,SHORT,1122.5,46083000.00000001,
2023-01-30,13:50:00,1124.2,Close,None,1124.2,45866000.00000001,2682000.0000000093
2023-01-30,14:05:00,1119.0,Open,SHORT,1119.0,45866000.00000001,
2023-01-31,13:25:00,1103.2,Close,None,1103.2,47399000.00000001,4215000.000000009
2023-01-31,13:45:00,1109.5,Open,LONG,1109.5,47399000.00000001,
2023-02-01,10:40:00,1116.8,Close,None,1116.8,48082000.00000001,4898000.000000009
2023-02-01,10:50:00,1113.9,Open,SHORT,1113.9,48082000.00000001,
2023-02-01,13:25:00,1118.3,Close,None,1118.3,47595000.00000001,4411000.000000009
2023-02-01,13:45:00,1121.6,Open,LONG,1121.6,47595000.00000001,
2023-02-01,13:50:00,1114.8,Close,None,1114.8,46868000.00000001,3684000.0000000093
2023-02-02,09:10:00,1092.0,Open,SHORT,1092.0,46868000.00000001,
2023-02-02,10:45:00,1092.2,Close,None,1092.2,46801000.00000001,3617000.0000000093
2023-02-02,11:15:00,1094.9,Open,LONG,1094.9,46801000.00000001,
2023-02-02,13:15:00,1089.5,Close,None,1089.5,46214000.00000001,3030000.0000000093
2023-02-02,14:15:00,1090.5,Open,SHORT,1090.5,46214000.00000001,
2023-02-03,10:20:00,1089.7,Close,None,1089.7,46247000.00000001,3063000.0000000093
2023-02-03,10:45:00,1088.7,Open,SHORT,1088.7,46247000.00000001,
2023-02-03,11:20:00,1089.5,Close,None,1089.5,46120000.00000001,2936000.0000000093
2023-02-03,13:25:00,1087.2,Open,SHORT,1087.2,46120000.00000001,
2023-02-06,10:30:00,1076.1,Close,None,1076.1,47183000.00000001,3999000.0000000093
2023-02-06,11:15:00,1081.0,Open,LONG,1081.0,47183000.00000001,
2023-02-06,13:35:00,1079.1,Close,None,1079.1,46946000.00000001,3762000.0000000093
2023-02-07,09:05:00,1089.8,Open,LONG,1089.8,46946000.00000001,
2023-02-07,10:30:00,1088.9,Close,None,1088.9,46809000.00000001,3625000.0000000093
2023-02-07,10:50:00,1087.0,Open,SHORT,1087.0,46809000.00000001,
2023-02-08,09:00:00,1071.0,Close,None,1071.0,48362000.00000001,5178000.000000009
2023-02-08,10:25:00,1075.8,Open,LONG,1075.8,48362000.00000001,
2023-02-08,10:50:00,1073.0,Close,None,1073.0,48035000.00000001,4851000.000000009
2023-02-08,11:10:00,1069.6,Open,SHORT,1069.6,48035000.00000001,
2023-02-08,13:30:00,1071.8,Close,None,1071.8,47768000.00000001,4584000.000000009
2023-02-08,14:00:00,1077.7,Open,LONG,1077.7,47768000.00000001,
2023-02-08,14:20:00,1072.8,Close,None,1072.8,47231000.00000001,4047000.0000000093
2023-02-09,09:05:00,1067.9,Open,SHORT,1067.9,47231000.00000001,
2023-02-09,10:15:00,1069.0,Close,None,1069.0,47074000.00000001,3890000.0000000093
2023-02-09,11:00:00,1067.0,Open,SHORT,1067.0,47074000.00000001,
2023-02-09,13:00:00,1069.0,Close,None,1069.0,46827000.00000001,3643000.0000000093
2023-02-09,13:15:00,1070.8,Open,LONG,1070.8,46827000.00000001,
2023-02-09,13:30:00,1066.9,Close,None,1066.9,46390000.00000001,3206000.0000000093
2023-02-09,13:45:00,1070.8,Open,LONG,1070.8,46390000.00000001,
2023-02-09,14:05:00,1069.0,Close,None,1069.0,46163000.00000001,2979000.0000000093
2023-02-10,09:00:00,1056.8,Open,SHORT,1056.8,46163000.00000001,
2023-02-10,13:30:00,1056.7,Close,None,1056.7,46126000.00000001,2942000.0000000093
2023-02-10,13:45:00,1055.9,Open,SHORT,1055.9,46126000.00000001,
2023-02-10,13:50:00,1056.6,Close,None,1056.6,46009000.00000001,2825000.0000000093
2023-02-10,14:20:00,1046.2,Open,SHORT,1046.2,46009000.00000001,
2023-02-13,14:15:00,1033.9,Close,None,1033.9,47192000.00000001,4008000.0000000093
2023-02-14,09:00:00,1039.4,Open,LONG,1039.4,47192000.00000001,
2023-02-14,09:25:00,1036.2,Close,None,1036.2,46825000.00000001,3641000.0000000093
2023-02-14,09:30:00,1036.2,Open,LONG,1036.2,46825000.00000001,
2023-02-14,09:45:00,1034.4,Close,None,1034.4,46598000.00000001,3414000.0000000093
2023-02-14,10:10:00,1037.4,Open,LONG,1037.4,46598000.00000001,
2023-02-14,11:15:00,1035.9,Close,None,1035.9,46401000.00000001,3217000.0000000093
2023-02-14,13:25:00,1033.0,Open,SHORT,1033.0,46401000.00000001,
2023-02-14,13:35:00,1035.3,Close,None,1035.3,46124000.00000001,2940000.0000000093
2023-02-14,14:10:00,1031.3,Open,SHORT,1031.3,46124000.00000001,
2023-02-15,09:40:00,1032.2,Close,None,1032.2,45987000.00000001,2803000.0000000093
2023-02-15,09:50:00,1035.7,Open,LONG,1035.7,45987000.00000001,
2023-02-15,13:10:00,1041.7,Close,None,1041.7,46540000.00000001,3356000.0000000093
2023-02-15,14:05:00,1035.3,Open,SHORT,1035.3,46540000.00000001,
2023-02-16,09:00:00,1042.9,Close,None,1042.9,45733000.00000001,2549000.0000000093
2023-02-16,09:10:00,1044.8,Open,LONG,1044.8,45733000.00000001,
2023-02-16,13:00:00,1043.8,Close,None,1043.8,45586000.00000001,2402000.0000000093
2023-02-16,14:00:00,1048.5,Open,LONG,1048.5,45586000.00000001,
2023-02-17,09:00:00,1051.2,Close_Future_Expired,None,1051.2,45809000.000000015,270000.00000000454
2023-02-17,10:30:00,1045.9,Open,SHORT,1045.9,45809000.000000015,
2023-02-17,13:30:00,1045.5,Close,None,1045.5,45802000.000000015,263000.00000000454
2023-02-17,14:00:00,1043.6,Open,SHORT,1043.6,45802000.000000015,
2023-02-17,14:10:00,1046.8,Close,None,1046.8,45435000.000000015,-103999.99999999546
2023-02-17,14:20:00,1047.8,Open,LONG,1047.8,45435000.000000015,
2023-02-21,10:55:00,1085.8,Close,None,1085.8,49188000.000000015,3649000.0000000047
2023-02-21,13:25:00,1082.7,Open,SHORT,1082.7,49188000.000000015,
2023-02-21,13:30:00,1086.3,Close,None,1086.3,48781000.000000015,3242000.0000000047
2023-02-22,09:00:00,1065.0,Open,SHORT,1065.0,48781000.000000015,
2023-02-22,09:55:00,1068.6,Close,None,1068.6,48374000.000000015,2835000.0000000047
2023-02-22,10:30:00,1066.7,Open,SHORT,1066.7,48374000.000000015,
2023-02-22,13:35:00,1063.7,Close,None,1063.7,48627000.000000015,3088000.0000000047
2023-02-22,14:05:00,1068.0,Open,LONG,1068.0,48627000.000000015,
2023-02-22,14:25:00,1056.5,Close,None,1056.5,47430000.000000015,1891000.0000000047
2023-02-23,09:25:00,1044.0,Open,SHORT,1044.0,47430000.000000015,
2023-02-23,13:45:00,1037.7,Close,None,1037.7,48013000.000000015,2474000.0000000047
2023-02-24,09:00:00,1046.2,Open,LONG,1046.2,48013000.000000015,
2023-02-24,09:20:00,1042.0,Close,None,1042.0,47546000.000000015,2007000.0000000047
2023-02-24,10:20:00,1038.6,Open,SHORT,1038.6,47546000.000000015,
2023-02-24,13:45:00,1032.9,Close,None,1032.9,48069000.000000015,2530000.0000000047
2023-02-27,09:00:00,1017.4,Open,SHORT,1017.4,48069000.000000015,
2023-02-27,13:00:00,1007.0,Close,None,1007.0,49062000.000000015,3523000.0000000047
2023-02-27,13:20:00,1013.0,Open,LONG,1013.0,49062000.000000015,
2023-02-27,14:15:00,1010.7,Close,None,1010.7,48785000.000000015,3246000.0000000047
2023-02-28,09:00:00,1016.2,Open,LONG,1016.2,48785000.000000015,
2023-02-28,11:10:00,1018.9,Close,None,1018.9,49008000.000000015,3469000.0000000047
2023-02-28,13:05:00,1016.3,Open,SHORT,1016.3,49008000.000000015,
2023-03-01,10:20:00,1006.1,Close,None,1006.1,49981000.000000015,4442000.000000005
2023-03-01,10:30:00,1008.8,Open,LONG,1008.8,49981000.000000015,
2023-03-01,13:50:00,1020.6,Close,None,1020.6,51114000.000000015,5575000.000000005
2023-03-01,14:15:00,1028.6,Open,LONG,1028.6,51114000.000000015,
2023-03-02,10:20:00,1030.0,Close,None,1030.0,51207000.000000015,5668000.000000005
2023-03-02,11:15:00,1025.9,Open,SHORT,1025.9,51207000.000000015,
2023-03-02,11:25:00,1027.9,Close,None,1027.9,50960000.000000015,5421000.000000005
2023-03-02,14:20:00,1029.5,Open,LONG,1029.5,50960000.000000015,
2023-03-02,14:25:00,1024.7,Close,None,1024.7,50433000.000000015,4894000.000000005
2023-03-03,09:00:00,1029.8,Open,LONG,1029.8,50433000.000000015,
2023-03-03,09:35:00,1028.2,Close,None,1028.2,50226000.000000015,4687000.000000005
2023-03-03,10:10:00,1025.1,Open,SHORT,1025.1,50226000.000000015,
2023-03-03,13:40:00,1019.4,Close,None,1019.4,50749000.000000015,5210000.000000005
2023-03-06,09:25:00,1026.0,Open,LONG,1026.0,50749000.000000015,
2023-03-06,13:00:00,1029.5,Close,None,1029.5,51052000.000000015,5513000.000000005
2023-03-06,13:35:00,1025.8,Open,SHORT,1025.8,51052000.000000015,
2023-03-07,09:00:00,1020.4,Close,None,1020.4,51545000.000000015,6006000.000000005
2023-03-07,10:00:00,1030.7,Open,LONG,1030.7,51545000.000000015,
2023-03-07,10:15:00,1027.7,Close,None,1027.7,51198000.000000015,5659000.000000005
2023-03-07,11:10:00,1026.6,Open,SHORT,1026.6,51198000.000000015,
2023-03-07,13:20:00,1028.9,Close,None,1028.9,50921000.000000015,5382000.000000005
2023-03-07,13:25:00,1029.6,Open,LONG,1029.6,50921000.000000015,
2023-03-07,13:45:00,1022.8,Close,None,1022.8,50194000.000000015,4655000.000000005
2023-03-07,14:10:00,1034.1,Open,LONG,1034.1,50194000.000000015,
