Date,Time,Price,Action,Position Type,Trade Price,Total Money,Total Point
2024-01-02,10:40:00,1137.5,Open,SHORT,1137.5,40000000.0,
2024-01-02,13:35:00,1133.7,Close,None,1133.7,40333000.0,333000.0
2024-01-03,09:00:00,1128.3,Open,SHORT,1128.3,40333000.0,
2024-01-03,10:35:00,1131.2,Close,None,1131.2,39996000.0,-4000.0
2024-01-03,10:55:00,1133.8,Open,LONG,1133.8,39996000.0,
2024-01-04,13:00:00,1159.7,Close,None,1159.7,42539000.0,2539000.0
2024-01-05,14:25:00,1163.4,Open,LONG,1163.4,42539000.0,
2024-01-08,10:30:00,1169.7,Close,None,1169.7,43122000.0,3122000.0
2024-01-08,13:25:00,1164.0,Open,SHORT,1164.0,43122000.0,
2024-01-08,13:55:00,1166.7,Close,None,1166.7,42805000.0,2805000.0
2024-01-10,10:40:00,1169.2,Open,LONG,1169.2,42805000.0,
2024-01-10,11:25:00,1166.4,Close,None,1166.4,42478000.0,2478000.0
2024-01-11,09:45:00,1172.1,Open,LONG,1172.1,42478000.0,
2024-01-11,11:25:00,1170.3,Close,None,1170.3,42251000.0,2251000.0
2024-01-11,14:10:00,1162.9,Open,SHORT,1162.9,42251000.0,
2024-01-11,14:20:00,1166.0,Close,None,1166.0,41894000.0,1894000.0
2024-01-12,09:15:00,1154.1,Open,SHORT,1154.1,41894000.0,
2024-01-12,10:05:00,1157.2,Close,None,1157.2,41537000.0,1537000.0
2024-01-15,09:00:00,1173.4,Open,LONG,1173.4,41537000.0,
2024-01-15,09:45:00,1170.7,Close,None,1170.7,41220000.0,1220000.0
2024-01-15,14:25:00,1163.7,Open,SHORT,1163.7,41220000.0,
2024-01-16,10:50:00,1161.6,Close,None,1161.6,41383000.0,1383000.0
2024-01-16,14:15:00,1167.3,Open,LONG,1167.3,41383000.0,
2024-01-17,13:00:00,1174.6,Close,None,1174.6,42066000.0,2066000.0
2024-01-17,13:20:00,1170.7,Open,SHORT,1170.7,42066000.0,
2024-01-18,09:00:00,1168.5,Close,None,1168.5,42239000.0,2239000.0
2024-01-18,13:40:00,1173.3,Open,LONG,1173.3,42239000.0,
2024-01-18,14:30:00,1172.8,Close_Future_Expired,None,1172.8,42142000.0,-50000.0
2024-01-22,09:00:00,1194.9,Open,LONG,1194.9,42142000.0,
2024-01-22,09:50:00,1192.1,Close,None,1192.1,41815000.0,-376999.99999999994
2024-01-24,14:10:00,1180.9,Open,SHORT,1180.9,41815000.0,
2024-01-25,10:35:00,1180.9,Close,None,1180.9,41768000.0,-423999.99999999994
2024-01-26,09:45:00,1186.7,Open,LONG,1186.7,41768000.0,
2024-01-26,11:15:00,1185.1,Close,None,1185.1,41561000.0,-631000.0
2024-01-29,13:35:00,1183.8,Open,SHORT,1183.8,41561000.0,
2024-01-30,09:55:00,1184.1,Close,None,1184.1,41484000.0,-708000.0
2024-01-30,14:25:00,1186.8,Open,LONG,1186.8,41484000.0,
2024-01-31,10:00:00,1185.9,Close,None,1185.9,41347000.0,-845000.0
2024-01-31,10:20:00,1182.3,Open,SHORT,1182.3,41347000.0,
2024-01-31,13:05:00,1179.1,Close,None,1179.1,41620000.0,-572000.0
2024-01-31,14:20:00,1171.0,Open,SHORT,1171.0,41620000.0,
2024-02-01,09:00:00,1169.7,Close,None,1169.7,41703000.0,-489000.0
2024-02-01,10:20:00,1175.8,Open,LONG,1175.8,41703000.0,
2024-02-01,13:45:00,1178.5,Close,None,1178.5,41926000.0,-265999.99999999994
2024-02-02,09:35:00,1181.5,Open,LONG,1181.5,41926000.0,
2024-02-02,10:20:00,1178.7,Close,None,1178.7,41599000.0,-592999.9999999999
