Date,Portfolio Value
2023-01-03,40000000.0
2023-01-03,40763000.0
2023-01-03,40763000.0
2023-01-03,40836000.0
2023-01-04,43769000.0
2023-01-04,43769000.0
2023-01-04,43769000.0
2023-01-04,43769000.0
2023-01-04,43769000.0
2023-01-04,43962000.0
2023-01-04,43962000.0
2023-01-04,44045000.0
2023-01-05,44178000.0
2023-01-05,44178000.0
2023-01-05,44178000.0
2023-01-05,44178000.0
2023-01-05,44224000.0
2023-01-06,44430000.0
2023-01-06,44430000.0
2023-01-09,44079000.0
2023-01-09,44079000.0
2023-01-09,44079000.0
2023-01-09,43635000.0
2023-01-10,42844000.0
2023-01-10,42844000.0
2023-01-10,42460000.0
2023-01-11,41172000.0
2023-01-11,41172000.0
2023-01-12,40934000.0
2023-01-12,40934000.0
2023-01-13,39333000.0
2023-01-16,39209000.0
2023-01-17,40822000.0
2023-01-17,40822000.0
2023-01-17,40555000.0
2023-01-17,40555000.0
2023-01-17,40828000.0
2023-01-18,40534000.0
2023-01-18,40534000.0
2023-01-18,40887000.0
2023-01-18,40890000.0
2023-01-19,40069000.0
2023-01-19,39835000.0
2023-01-19,39835000.0
2023-01-27,40807000.0
2023-01-30,40809000.0
2023-01-30,40809000.0
2023-01-30,40809000.0
2023-01-30,40809000.0
2023-01-30,40809000.0
2023-01-30,40809000.0
2023-01-30,40982000.0
2023-01-30,40982000.0
2023-01-31,41918000.0
2023-01-31,41918000.0
2023-01-31,42291000.0
2023-01-31,42291000.0
2023-01-31,42291000.0
2023-02-01,44154000.0
2023-02-01,44154000.0
2023-02-01,44154000.0
2023-02-01,44154000.0
2023-02-01,44154000.0
2023-02-01,44154000.0
2023-02-01,43420000.0
2023-02-01,43420000.0
2023-02-02,43096000.0
2023-02-02,43189000.0
2023-02-03,41474000.0
2023-02-03,41474000.0
2023-02-06,42477000.0
2023-02-06,42477000.0
2023-02-06,42477000.0
2023-02-06,42477000.0
2023-02-06,42563000.0
2023-02-07,41639000.0
2023-02-07,41595000.0
2023-02-08,42598000.0
2023-02-08,42598000.0
2023-02-08,42598000.0
2023-02-08,42598000.0
2023-02-08,41160000.0
2023-02-09,41693000.0
2023-02-09,41693000.0
2023-02-10,39694000.0
2023-02-10,39697000.0
2023-02-10,39697000.0
2023-02-10,39697000.0
2023-02-10,39697000.0
2023-02-13,41400000.0
2023-02-14,41876000.0
2023-02-14,41272000.0
2023-02-14,41325000.0
2023-02-14,41325000.0
2023-02-15,41151000.0
2023-02-15,42184000.0
2023-02-15,42184000.0
2023-02-15,42184000.0
2023-02-15,42230000.0
2023-02-16,42263000.0
2023-02-17,41912000.00000001
2023-02-17,42065000.00000001
2023-02-20,41487000.00000001
2023-02-20,42020000.00000001
2023-02-20,42020000.00000001
2023-02-20,42020000.00000001
2023-02-21,44353000.00000001
2023-02-21,44353000.00000001
2023-02-21,44353000.00000001
2023-02-21,44353000.00000001
2023-02-21,44353000.00000001
2023-02-21,44353000.00000001
2023-02-21,44353000.00000001
2023-02-21,44353000.00000001
2023-02-21,44219000.00000001
2023-02-21,44219000.00000001
2023-02-22,43704000.00000001
2023-02-22,43704000.00000001
2023-02-22,43704000.00000001
2023-02-22,43704000.00000001
2023-02-22,44297000.00000001
2023-02-22,44083000.00000001
2023-02-23,45039000.00000001
2023-02-23,45039000.00000001
2023-02-24,43828000.00000001
2023-02-24,44121000.00000001
2023-02-27,41096000.00000001
2023-02-28,41539000.00000001
2023-02-28,41539000.00000001
2023-02-28,41702000.00000001
2023-02-28,41702000.00000001
2023-03-01,43255000.00000001
2023-03-01,44461000.00000001
2023-03-01,43994000.00000001
2023-03-01,43994000.00000001
2023-03-01,43994000.00000001
2023-03-02,44817000.00000001
2023-03-02,44817000.00000001
2023-03-02,44817000.00000001
2023-03-02,44817000.00000001
2023-03-02,44763000.00000001
2023-03-03,43398000.00000001
2023-03-03,43398000.00000001
2023-03-03,43398000.00000001
2023-03-03,43398000.00000001
2023-03-03,43398000.00000001
2023-03-06,42707000.00000001
2023-03-06,42707000.00000001
2023-03-06,42707000.00000001
2023-03-06,42707000.00000001
2023-03-06,42707000.00000001
2023-03-06,42707000.00000001
2023-03-06,42707000.00000001
2023-03-07,42933000.00000001
2023-03-07,43156000.00000001
2023-03-07,43156000.00000001
2023-03-07,43309000.00000001
2023-03-08,40194000.00000001
2023-03-08,40194000.00000001
2023-03-09,41113000.00000001
2023-03-09,41113000.00000001
2023-03-09,41113000.00000001
2023-03-09,41113000.00000001
2023-03-09,41113000.00000001
2023-03-09,41136000.00000001
2023-03-09,41519000.00000001
2023-03-09,41519000.00000001
2023-03-09,41519000.00000001
2023-03-09,41519000.00000001
2023-03-10,41625000.00000001
2023-03-10,41625000.00000001
2023-03-10,41625000.00000001
2023-03-10,41625000.00000001
2023-03-10,41625000.00000001
2023-03-10,41668000.00000001
2023-03-10,41711000.00000001
2023-03-13,40827000.00000001
2023-03-13,41010000.00000001
2023-03-14,39582000.00000001
2023-03-14,39582000.00000001
2023-03-14,40295000.00000001
2023-03-15,38554000.00000001
2023-03-15,38554000.00000001
2023-03-15,38737000.00000001
2023-03-15,38737000.00000001
2023-03-15,38737000.00000001
2023-03-16,38533000.00000001
2023-03-17,37505000.00000001
2023-03-17,37061000.00000001
2023-03-20,36793000.00000001
2023-03-20,38116000.00000001
2023-03-20,38116000.00000001
2023-03-21,37699000.00000001
2023-03-21,37699000.00000001
2023-03-21,38422000.00000001
2023-03-21,38595000.00000001
2023-03-22,39368000.00000001
2023-03-22,39368000.00000001
2023-03-22,39368000.00000001
2023-03-22,39368000.00000001
2023-03-22,39581000.00000001
2023-03-22,39581000.00000001
2023-03-22,39581000.00000001
2023-03-22,39764000.00000001
2023-03-22,39764000.00000001
2023-03-22,39764000.00000001
2023-03-23,37933000.00000001
2023-03-23,38256000.00000001
2023-03-24,38959000.00000001
2023-03-24,39022000.00000001
2023-03-24,39022000.00000001
2023-03-24,38928000.00000001
2023-03-27,39121000.00000001
2023-03-27,39121000.00000001
