Date,Time,Price,Action,Position Type,Trade Price,Total Money,Total Point
2024-01-02,10:30:00,1138.0,Open,SHORT,1138.0,40000000.0,
2024-01-02,13:45:00,1133.8,Close,None,1133.8,40373000.0,373000.00000000006
2024-01-02,13:55:00,1135.0,Open,LONG,1135.0,40373000.0,
2024-01-02,14:00:00,1133.5,Close,None,1133.5,40176000.0,176000.00000000006
2024-01-02,14:05:00,1134.9,Open,LONG,1134.9,40176000.0,
2024-01-02,14:15:00,1133.0,Close,None,1133.0,39939000.0,-60999.99999999994
2024-01-02,14:20:00,1132.6,Open,SHORT,1132.6,39939000.0,
2024-01-03,10:05:00,1129.3,Close,None,1129.3,40222000.0,222000.00000000006
2024-01-03,10:25:00,1129.8,Open,LONG,1129.8,40222000.0,
2024-01-04,13:00:00,1159.7,Close,None,1159.7,43165000.0,3165000.0
2024-01-05,10:05:00,1162.5,Open,LONG,1162.5,43165000.0,
2024-01-05,10:25:00,1161.3,Close,None,1161.3,42998000.0,2998000.0
2024-01-05,10:30:00,1158.4,Open,SHORT,1158.4,42998000.0,
2024-01-05,11:20:00,1157.6,Close,None,1157.6,43031000.0,3031000.0
2024-01-05,13:45:00,1156.0,Open,SHORT,1156.0,43031000.0,
2024-01-05,13:55:00,1157.8,Close,None,1157.8,42804000.0,2804000.0
2024-01-05,14:15:00,1158.2,Open,LONG,1158.2,42804000.0,
2024-01-08,10:30:00,1169.7,Close,None,1169.7,43907000.0,3907000.0
2024-01-08,13:10:00,1165.7,Open,SHORT,1165.7,43907000.0,
2024-01-08,13:55:00,1166.7,Close,None,1166.7,43760000.0,3760000.0
2024-01-08,14:15:00,1163.1,Open,SHORT,1163.1,43760000.0,
2024-01-08,14:20:00,1165.0,Close,None,1165.0,43523000.0,3523000.0
2024-01-09,10:40:00,1163.9,Open,LONG,1163.9,43523000.0,
2024-01-09,10:55:00,1163.6,Close,None,1163.6,43446000.0,3446000.0
2024-01-09,13:50:00,1161.3,Open,SHORT,1161.3,43446000.0,
2024-01-09,14:00:00,1161.9,Close,None,1161.9,43339000.0,3339000.0
2024-01-09,14:10:00,1163.9,Open,LONG,1163.9,43339000.0,
2024-01-10,09:00:00,1161.3,Close,None,1161.3,43032000.0,3032000.0
2024-01-10,09:05:00,1161.6,Open,SHORT,1161.6,43032000.0,
2024-01-10,09:15:00,1163.4,Close,None,1163.4,42805000.0,2805000.0
2024-01-10,10:25:00,1164.4,Open,LONG,1164.4,42805000.0,
2024-01-10,11:20:00,1167.1,Close,None,1167.1,43028000.0,3028000.0
2024-01-10,13:15:00,1161.9,Open,SHORT,1161.9,43028000.0,
2024-01-10,13:50:00,1163.7,Close,None,1163.7,42801000.0,2801000.0
2024-01-10,14:15:00,1160.7,Open,SHORT,1160.7,42801000.0,
2024-01-10,14:25:00,1163.8,Close,None,1163.8,42444000.0,2444000.0
2024-01-11,09:25:00,1166.1,Open,LONG,1166.1,42444000.0,
2024-01-11,11:15:00,1172.2,Close,None,1172.2,43007000.0,3007000.0
2024-01-11,11:25:00,1170.3,Open,SHORT,1170.3,43007000.0,
2024-01-12,10:05:00,1157.2,Close,None,1157.2,44270000.0,4270000.0
2024-01-12,10:35:00,1159.4,Open,LONG,1159.4,44270000.0,
2024-01-12,13:50:00,1165.0,Close,None,1165.0,44783000.0,4783000.0
2024-01-12,14:15:00,1161.5,Open,SHORT,1161.5,44783000.0,
2024-01-12,14:20:00,1164.7,Close,None,1164.7,44416000.0,4416000.0
2024-01-15,09:00:00,1173.4,Open,LONG,1173.4,44416000.0,
2024-01-15,10:00:00,1170.2,Close,None,1170.2,44049000.0,4049000.0
2024-01-15,10:15:00,1171.8,Open,LONG,1171.8,44049000.0,
2024-01-15,10:30:00,1170.5,Close,None,1170.5,43872000.0,3872000.0
2024-01-15,14:10:00,1168.4,Open,SHORT,1168.4,43872000.0,
2024-01-16,10:25:00,1160.6,Close,None,1160.6,44605000.0,4605000.0
2024-01-16,10:35:00,1159.3,Open,SHORT,1159.3,44605000.0,
2024-01-16,10:50:00,1161.6,Close,None,1161.6,44328000.0,4328000.0
2024-01-16,10:50:00,1161.6,Open,LONG,1161.6,44328000.0,
2024-01-16,13:15:00,1161.6,Close,None,1161.6,44281000.0,4281000.0
2024-01-16,14:10:00,1163.7,Open,LONG,1163.7,44281000.0,
2024-01-17,11:20:00,1176.4,Close,None,1176.4,45504000.0,5504000.0
2024-01-17,13:05:00,1174.1,Open,SHORT,1174.1,45504000.0,
2024-01-18,09:05:00,1169.0,Close,None,1169.0,45967000.0,5967000.0
2024-01-18,09:30:00,1168.0,Open,SHORT,1168.0,45967000.0,
2024-01-18,09:50:00,1170.0,Close,None,1170.0,45720000.0,5720000.0
2024-01-18,09:55:00,1170.5,Open,LONG,1170.5,45720000.0,
2024-01-18,10:10:00,1169.3,Close,None,1169.3,45553000.0,5553000.0
2024-01-18,10:50:00,1166.4,Open,SHORT,1166.4,45553000.0,
2024-01-18,11:15:00,1167.7,Close,None,1167.7,45376000.0,5376000.0
2024-01-18,13:05:00,1168.5,Open,LONG,1168.5,45376000.0,
2024-01-18,14:20:00,1173.1,Close,None,1173.1,45789000.0,5789000.0
2024-01-19,09:00:00,1180.7,Open,LONG,1180.7,45789000.0,
2024-01-19,10:15:00,1185.2,Close,None,1185.2,46192000.0,6192000.0
2024-01-19,13:25:00,1185.0,Open,LONG,1185.0,46192000.0,
2024-01-19,13:40:00,1183.7,Close,None,1183.7,46015000.0,6015000.0
2024-01-19,13:55:00,1182.6,Open,SHORT,1182.6,46015000.0,
2024-01-19,14:10:00,1185.3,Close,None,1185.3,45698000.0,5698000.0
2024-01-22,09:00:00,1194.9,Open,LONG,1194.9,45698000.0,
2024-01-22,09:55:00,1190.3,Close,None,1190.3,45191000.0,5191000.0
2024-01-22,10:20:00,1190.0,Open,SHORT,1190.0,45191000.0,
2024-01-22,10:40:00,1190.6,Close,None,1190.6,45084000.0,5084000.0
2024-01-22,13:40:00,1188.7,Open,SHORT,1188.7,45084000.0,
