Date,Time,Price,Action,Position Type,Trade Price,Total Money,Total Point
2023-01-03,10:25:00,1013.0,Open,LONG,1013.0,40000000.0,
2023-01-03,10:55:00,1015.0,Close,None,1015.0,41530000.0,2.0
2023-01-03,11:10:00,1015.8,Open,LONG,1015.8,41530000.0,
2023-01-03,13:10:00,1020.0,Close,None,1020.0,45260000.0,6.2
2023-01-04,09:45:00,1044.8,Open,LONG,1044.8,45260000.0,
2023-01-04,10:20:00,1047.6,Close,None,1047.6,47590000.0,9.0
2023-01-04,10:55:00,1047.4,Open,LONG,1047.4,47590000.0,
2023-01-04,13:55:00,1039.3,Close,None,1039.3,39020000.0,0.9000000000000004
2023-01-05,14:15:00,1056.6,Open,LONG,1056.6,39020000.0,
2023-01-06,09:00:00,1051.4,Open,LONG,1051.4,33350000.0,-4.3
2023-01-06,09:00:00,1051.4,Open,LONG,1051.4,33350000.0,-4.3
2023-01-06,09:55:00,1057.8,Close,None,1057.8,39280000.0,2.1000000000000005
2023-01-06,10:45:00,1062.3,Open,LONG,1062.3,39280000.0,
2023-01-06,11:10:00,1064.2,Close,None,1064.2,40710000.0,4.0
2023-01-06,11:25:00,1063.3,Open,LONG,1063.3,40710000.0,
2023-01-06,13:30:00,1057.0,Close,None,1057.0,33940000.0,-2.3
2023-01-11,10:00:00,1063.3,Open,LONG,1063.3,33940000.0,
2023-01-11,10:20:00,1065.0,Close,None,1065.0,35170000.0,-0.5999999999999999
2023-01-11,10:30:00,1065.9,Open,LONG,1065.9,35170000.0,
2023-01-11,10:35:00,1067.2,Close,None,1067.2,36000000.0,0.7000000000000002
2023-01-11,11:20:00,1069.3,Open,LONG,1069.3,36000000.0,
2023-01-11,13:10:00,1072.7,Close,None,1072.7,38930000.0,4.1
2023-01-11,13:15:00,1071.7,Open,LONG,1071.7,38930000.0,
2023-01-11,13:40:00,1065.8,Close,None,1065.8,32560000.0,-1.8000000000000007
2023-01-11,13:50:00,1066.7,Open,LONG,1066.7,32560000.0,
2023-01-12,09:00:00,1065.9,Close,None,1065.9,31290000.0,-2.6000000000000005
2023-01-13,09:50:00,1072.4,Open,LONG,1072.4,31290000.0,
2023-01-13,13:35:00,1070.6,Close,None,1070.6,29020000.0,-4.4
2023-01-17,10:25:00,1084.8,Open,LONG,1084.8,29020000.0,
2023-01-17,13:05:00,1090.5,Close,None,1090.5,34250000.0,1.2999999999999998
